Name:,Test Input,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01110077,0,0.01110562,,0,0,74.29105,,-0.21243,100.055,152.8106,,50,50,175,,16,16,16,,
0.02232361,0,0.02232708,,0,0,74.31717,,-0.2331399,100.0654,152.7935,,50,50,175,,16,16,16,,
0.03334045,0,0.03334238,,0,0,74.3298,,-0.2220721,100.0802,152.7595,,50,50,175,,16,16,16,,
0.04445648,0,0.04445416,,0,0,74.34267,,-0.2067168,100.1031,152.7335,,50,50,175,,16,16,16,,
0.05568695,0,0.05569057,,0,0,74.37433,,-0.1806832,100.1467,152.6673,,50,50,175,,16,16,16,,
0.06665802,0,0.06665777,,0,0,74.38773,,-0.1459672,100.1788,152.6168,,50,50,175,,16,16,16,,
0.07783508,0,0.0778326,,0,0,74.39806,,-0.09672523,100.222,152.5692,,50,50,175,,16,16,16,,
0.0890274,0,0.08902473,,0,0,74.4067,,-0.05878725,100.253,152.5253,,50,50,175,,16,16,16,,
0.09998322,0,0.09998666,,0,0,74.41415,,-0.03033207,100.2728,152.4816,,50,50,175,,16,16,16,,
0.1111679,0,0.1111676,,0,0,74.43018,,-0.03337374,100.2748,152.4399,,50,50,175,,16,16,16,,
0.1223373,0,0.1223366,,0,0,74.44202,,-0.04647501,100.2604,152.3979,,50,50,175,,16,16,16,,
0.1333771,0,0.1333801,,0,0,74.4513,,-0.0751477,100.2491,152.4058,,50,50,175,,16,16,16,,
0.1445084,0,0.1445106,,0,0,74.45801,,-0.09326527,100.2387,152.4007,,50,50,175,,16,16,16,,
0.155632,0,0.155635,,0,0,74.46339,,-0.1120308,100.2242,152.3922,,50,50,175,,16,16,16,,
0.1667938,0,0.1667963,,0,0,74.46455,,-0.1197342,100.215,152.385,,50,50,175,,16,16,16,,
0.177803,0,0.1778055,,0,0,74.46576,,-0.1404113,100.2014,152.3967,,50,50,175,,16,16,16,,
