Name:,Test Input,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,3,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,
0.01150703,0,0.01150731,,0,0,64.38735,,-10.58002,33.08462,198.0173,,-50,50,150,,
0.02237511,0,0.02237389,,0,0,64.38047,,-10.61698,33.07768,198.036,,-50,50,150,,
0.03337479,0,0.03337383,,0,0,64.40012,,-10.57372,33.09086,198.0315,,-50,50,150,,
0.04454994,0,0.04455029,,0,0,64.40414,,-10.57144,33.09346,198.0359,,-50,50,150,,
0.05566597,0,0.05566507,,0,0,64.42571,,-10.54817,33.10546,198.05,,-50,50,150,,
0.06674767,0,0.06674693,,0,0,64.43259,,-10.54289,33.10636,198.0552,,-50,50,150,,
0.07791138,0,0.07791071,,0,0,64.43356,,-10.53555,33.0805,198.0413,,-50,50,150,,
0.0890007,0,0.0889994,,0,0,64.45138,,-10.4732,33.06635,198.009,,-50,50,150,,
0.1001148,0,0.1001139,,0,0,64.51437,,-10.35117,33.09347,198.0025,,-50,50,150,,
0.1114254,0,0.111425,,0,0,64.59679,,-10.29248,33.21662,198.108,,-50,50,150,,
0.1222878,0,0.1222869,,0,0,64.66276,,-10.1933,33.21532,198.1142,,-50,50,150,,
0.1333847,0,0.1333851,,0,0,64.71723,,-10.15443,33.16307,198.137,,-50,50,150,,
0.1445866,0,0.1445867,,0,0,64.73328,,-10.16357,33.1502,198.1616,,-50,50,150,,
0.1556816,0,0.155682,,0,0,64.7232,,-10.19229,33.13187,198.1654,,-50,50,150,,
0.1667194,0,0.1667199,,0,0,64.72697,,-10.20791,33.13047,198.1829,,-50,50,150,,
0.1780205,0,0.178021,,0,0,64.75471,,-10.25589,33.13205,198.2602,,-50,50,150,,
0.189043,0,0.1890431,,0,0,64.73592,,-10.33943,33.16589,198.3156,,-50,50,150,,
0.2000961,0,0.2000962,,0,0,64.66257,,-10.47166,33.23863,198.351,,-50,50,150,,
0.2113552,0,0.2113548,,0,0,64.48769,,-10.69494,33.34843,198.3374,,-50,50,150,,
0.2223072,0,0.222307,,0,0,64.19247,,-10.99001,33.45348,198.2194,,-50,50,150,,
0.233366,0,0.2333647,,0,0,63.68583,,-11.44568,33.63892,197.9767,,-50,50,150,,
0.2445755,0,0.2445755,,0,0,63.09012,,-12.00764,33.88435,197.7203,,-50,50,150,,
0.2556934,0,0.2556932,,0,0,62.33361,,-12.7471,34.22835,197.4232,,-50,50,150,,
0.2668228,0,0.2668229,,0,0,61.51446,,-13.53668,34.63239,197.0987,,-50,50,150,,
0.277998,0,0.2779967,,0,0,60.57251,,-14.42151,35.16756,196.7247,,-50,50,150,,
0.2891998,0,0.289199,,0,0,59.57201,,-15.31499,35.78174,196.2992,,-50,50,150,,
0.3000813,0,0.3000811,,0,0,58.54501,,-16.22406,36.42915,195.8534,,-50,50,150,,
0.3112316,0,0.3112315,,0,0,57.44687,,-17.20644,37.15704,195.3848,,-50,50,150,,
0.3223934,0,0.3223931,,0,0,56.3348,,-18.20836,37.91899,194.9105,,-50,50,150,,
0.3333817,0,0.3333816,,0,0,55.15154,,-19.24249,38.7678,194.3791,,-50,50,150,,
0.3445835,0,0.3445836,,0,0,53.9216,,-20.28197,39.65105,193.7867,,-50,50,150,,
0.355669,0,0.3556679,,0,0,52.59586,,-21.33566,40.57242,193.079,,-50,50,150,,
0.3668423,0,0.3668422,,0,0,51.16755,,-22.43574,41.48386,192.2588,,-50,50,150,,
0.3779278,0,0.3779272,,0,0,49.67044,,-23.57107,42.37872,191.3592,,-50,50,150,,
0.3889923,0,0.3889913,,0,0,48.04037,,-24.74436,43.2523,190.3051,,-50,50,150,,
0.4002228,0,0.4002226,,0,0,46.37029,,-25.93213,44.10527,189.1943,,-50,50,150,,
0.4113312,0,0.4113298,,0,0,44.60224,,-27.15421,44.92948,187.97,,-50,50,150,,
0.4223347,0,0.4223339,,0,0,42.82246,,-28.37066,45.71494,186.7093,,-50,50,150,,
0.4334316,0,0.4334318,,0,0,40.95113,,-29.60962,46.43758,185.3346,,-50,50,150,,
0.4446278,0,0.4446268,,0,0,39.05316,,-30.83551,47.10772,183.9044,,-50,50,150,,
0.4557266,0,0.455726,,0,0,37.10349,,-32.02066,47.6804,182.3733,,-50,50,150,,
0.4667873,0,0.4667864,,0,0,35.19253,,-33.17076,48.20885,180.8558,,-50,50,150,,
0.4779396,0,0.4779382,,0,0,33.37114,,-34.2608,48.70018,179.3976,,-50,50,150,,
0.4890556,0,0.4890547,,0,0,31.6488,,-35.29763,49.09235,178.0118,,-50,50,150,,
0.5002098,0,0.5002085,,0,0,29.9645,,-36.34446,49.43617,176.6661,,-50,50,150,,
0.5113468,0,0.5113467,,0,0,28.30295,,-37.39286,49.6517,175.3376,,-50,50,150,,
0.5224209,0,0.5224208,,0,0,26.65587,,-38.46086,49.8184,174.0281,,-50,50,150,,
0.5336018,0,0.5336009,,0,0,25.03971,,-39.54171,49.87103,172.7507,,-50,50,150,,
0.5447178,0,0.5447174,,0,0,23.429,,-40.60952,49.86114,171.4643,,-50,50,150,,
0.5557346,0,0.5557342,,0,0,21.8571,,-41.66684,49.74987,170.2047,,-50,50,150,,
0.5668812,0,0.5668802,,0,0,20.39443,,-42.69083,49.60583,169.0356,,-50,50,150,,
0.5780678,0,0.5780671,,0,0,19.02537,,-43.68433,49.44233,167.9378,,-50,50,150,,
0.5891132,0,0.5891124,,0,0,17.78948,,-44.64702,49.27731,166.9496,,-50,50,150,,
0.6002178,0,0.6002174,,0,0,16.61531,,-45.58498,49.11261,165.9934,,-50,50,150,,
0.6114063,0,0.6114066,,0,0,15.53202,,-46.498,48.89045,165.0913,,-50,50,150,,
0.622406,0,0.6224062,,0,0,14.49853,,-47.41697,48.65994,164.2035,,-50,50,150,,
0.6335735,0,0.6335727,,0,0,13.56658,,-48.30618,48.39687,163.3646,,-50,50,150,,
0.6447124,0,0.6447128,,0,0,12.70578,,-49.13836,48.12395,162.5369,,-50,50,150,,
0.6557312,0,0.6557301,,0,0,11.95837,,-49.87058,47.88049,161.7683,,-50,50,150,,
0.6669388,0,0.666938,,1,0.01120791,11.2872,,-50.49218,47.6762,161.0344,,-50,50,150,,
0.6780491,0,0.6780494,,1,0.02231927,10.67694,,-51.06094,47.50117,160.326,,-50,50,150,,
0.689127,0,0.6891266,,1,0.0333965,10.13544,,-51.52334,47.39432,159.6756,,-50,50,150,,
0.7003288,0,0.7003277,,1,0.04459759,9.62117,,-51.94621,47.33543,159.0377,,-50,50,150,,
0.7115192,0,0.711519,,1,0.05578892,9.12779,,-52.2773,47.34908,158.4323,,-50,50,150,,
0.7224846,0,0.7224838,,1,0.06675375,8.646072,,-52.58167,47.37971,157.8246,,-50,50,150,,
0.7336197,0,0.7336183,,1,0.07788828,8.156231,,-52.83361,47.43226,157.2043,,-50,50,150,,
0.744709,0,0.7447087,,1,0.08897868,7.671548,,-53.0673,47.45831,156.5562,,-50,50,150,,
0.7558231,0,0.7558233,,1,0.1000932,7.185989,,-53.24997,47.49528,155.8994,,-50,50,150,,
0.766983,0,0.7669821,,1,0.1112521,6.718555,,-53.39045,47.57886,155.2709,,-50,50,150,,
0.7780056,0,0.778006,,1,0.1222759,6.262998,,-53.47287,47.70651,154.6802,,-50,50,150,,
0.7891369,0,0.7891361,,1,0.1334061,5.76993,,-53.44678,47.91538,154.1311,,-50,50,150,,
0.8002186,0,0.8002173,,1,0.1444872,5.266996,,-53.39597,48.1643,153.5831,,-50,50,150,,
0.811409,0,0.8114081,,1,0.1556781,4.730874,,-53.29203,48.49187,153.0445,,-50,50,150,,
0.8224926,0,0.8224927,,1,0.1667626,4.207874,,-53.18033,48.81218,152.4861,,-50,50,150,,
0.8336105,0,0.8336094,,1,0.1778793,3.681834,,-53.04062,49.17642,151.9059,,-50,50,150,,
0.8448124,0,0.844812,,1,0.1890819,3.184733,,-52.87137,49.53894,151.2981,,-50,50,150,,
0.8558388,0,0.855839,,1,0.2001089,2.776096,,-52.68904,49.89273,150.6814,,-50,50,150,,
0.8671722,0,0.8671715,,1,0.2114414,2.482657,,-52.46897,50.25051,150.0708,,-50,50,150,,
0.8780785,0,0.8780785,,1,0.2223484,2.364914,,-52.22922,50.56528,149.4488,,-50,50,150,,
0.889143,0,0.8891433,,1,0.2334132,2.429412,,-51.94342,50.84523,148.8123,,-50,50,150,,
0.9003296,0,0.90033,,1,0.2445999,2.649883,,-51.60847,51.11365,148.2127,,-50,50,150,,
0.911459,0,0.911458,,1,0.2557279,2.91555,,-51.20781,51.3672,147.7257,,-50,50,150,,
0.9225197,0,0.9225191,,1,0.266789,3.287758,,-50.82327,51.64436,147.2746,,-50,50,150,,
0.9336414,0,0.9336412,,1,0.2779111,3.651826,,-50.47549,51.89387,146.9141,,-50,50,150,,
0.9447327,0,0.9447325,,1,0.2890025,4.039684,,-50.18633,52.07957,146.5417,,-50,50,150,,
0.9558792,0,0.9558786,,1,0.3001485,4.398709,,-50.01588,52.12181,146.1469,,-50,50,150,,
0.9670162,0,0.9670157,,1,0.3112857,4.727115,,-49.9099,52.02851,145.7312,,-50,50,150,,
0.9780807,0,0.9780796,,1,0.3223495,5.025779,,-49.85571,51.90866,145.353,,-50,50,150,,
0.9892006,1,0.01112063,,0,0,100.0135,,-49.87458,51.78836,145.0436,,50,50,150,,
1.000294,1,0.02221395,,0,0,100.0023,,-49.85086,51.65091,144.7513,,50,50,150,,
1.011486,1,0.03340626,,0,0,99.91968,,-49.75828,51.50931,144.5275,,50,50,150,,
