Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01104164,0,0.01104084,,0,0,37.67757,,-0.1602054,97.60555,147.677,,0,60,150,,5,5,5,,
0.0221405,0,0.02214032,,0,0,37.65846,,-0.1940911,97.58762,147.6995,,0,60,150,,5,5,5,,
0.03317261,0,0.03317206,,0,0,37.64482,,-0.1902649,97.57354,147.6922,,0,60,150,,5,5,5,,
0.04432678,0,0.04432551,,0,0,37.64072,,-0.1581501,97.56906,147.6839,,0,60,150,,5,5,5,,
0.05550194,0,0.05550065,,0,0,37.6302,,-0.139586,97.55858,147.6836,,0,60,150,,5,5,5,,
0.06649971,0,0.06649984,,0,0,37.60007,,-0.1457277,97.52894,147.6928,,0,60,150,,5,5,5,,
0.07767487,0,0.0776744,,0,0,37.59469,,-0.101321,97.52496,147.7135,,0,60,150,,5,5,5,,
0.08882523,0,0.08882462,,0,0,37.59056,,-0.03508347,97.52145,147.7218,,0,60,150,,5,5,5,,
0.09989548,0,0.09989332,,0,0,37.58179,,0.01226862,97.51237,147.7168,,0,60,150,,5,5,5,,
0.1109657,0,0.1109667,,0,0,37.58436,,0.07297152,97.51503,147.7194,,0,60,150,,5,5,5,,
0.1220245,0,0.1220254,,0,0,37.52356,,0.07117505,97.45805,147.7847,,0,60,150,,5,5,5,,
0.1332588,0,0.1332586,,0,0,37.54261,,0.05577536,97.47617,147.7681,,0,60,150,,5,5,5,,
0.1442528,0,0.1442511,,0,0,37.5703,,0.1881963,97.50317,147.763,,0,60,150,,5,5,5,,
0.1555061,0,0.1555048,,0,0,37.57983,,0.2463374,97.5117,147.7516,,0,60,150,,5,5,5,,
0.1665688,0,0.1665688,,0,0,37.577,,0.2717154,97.50798,147.7398,,0,60,150,,5,5,5,,
0.1776886,0,0.1776877,,0,0,37.56161,,0.2805242,97.4928,147.7448,,0,60,150,,5,5,5,,
0.1887932,0,0.1887936,,0,0,37.54115,,0.288718,97.47208,147.7421,,0,60,150,,5,5,5,,
0.1999016,0,0.1999022,,0,0,37.51198,,0.3057581,97.44335,147.7527,,0,60,150,,5,5,5,,
0.2109833,0,0.2109814,,0,0,37.47051,,0.3425678,97.40384,147.7921,,0,60,150,,5,5,5,,
0.2220535,0,0.2220531,,0,0,37.38837,,0.4310744,97.32632,147.8906,,0,60,150,,5,5,5,,
0.2333031,0,0.2333018,,0,0,37.32036,,0.4941204,97.2617,147.9675,,0,60,150,,5,5,5,,
0.2443581,0,0.2443588,,0,0,37.23065,,0.5581771,97.17484,148.0402,,0,60,150,,5,5,5,,
0.2555428,0,0.2555418,,0,0,37.1213,,0.6033075,97.06821,148.1094,,0,60,150,,5,5,5,,
0.2667313,0,0.266729,,0,0,36.96333,,0.6060183,96.9141,148.1917,,0,60,150,,5,5,5,,
