Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01098251,0,0.01098248,,0,0,42.66065,,2.050095,96.8278,143.5457,,-40,100,150,,5,5,5,,
0.02213097,0,0.02213006,,0,0,42.5771,,1.944836,96.84734,143.4045,,-40,100,150,,5,5,5,,
0.03310776,0,0.03310696,,0,0,42.49605,,1.848987,96.84987,143.3177,,-40,100,150,,5,5,5,,
0.0442009,0,0.04420058,,0,0,42.44223,,1.779549,96.86411,143.2192,,-40,100,150,,5,5,5,,
0.05541992,0,0.05541971,,0,0,42.41969,,1.74185,96.86402,143.1288,,-40,100,150,,5,5,5,,
0.0666275,0,0.06662741,,0,0,42.41466,,1.721223,96.84395,143.0443,,-40,100,150,,5,5,5,,
0.07760811,0,0.07760666,,0,0,42.39306,,1.691358,96.83158,143.0026,,-40,100,150,,5,5,5,,
0.08871269,0,0.08871171,,0,0,42.36258,,1.664253,96.83351,143.0249,,-40,100,150,,5,5,5,,
0.09984016,0,0.09983934,,0,0,42.35349,,1.66352,96.85275,143.0672,,-40,100,150,,5,5,5,,
0.1108913,0,0.1108902,,0,0,42.35291,,1.676952,96.88363,143.1379,,-40,100,150,,5,5,5,,
0.1220379,0,0.1220366,,0,0,42.27615,,1.629224,96.93166,143.3018,,-40,100,150,,5,5,5,,
0.1331539,0,0.1331528,,0,0,42.34525,,1.705403,96.9555,143.3284,,-40,100,150,,5,5,5,,
0.1442051,0,0.1442044,,0,0,42.36791,,1.741881,96.97717,143.4032,,-40,100,150,,5,5,5,,
0.1553822,0,0.1553816,,0,0,42.35624,,1.741909,96.972,143.4812,,-40,100,150,,5,5,5,,
0.1664944,0,0.1664928,,0,0,42.31129,,1.713036,96.98354,143.5837,,-40,100,150,,5,5,5,,
0.1776733,0,0.1776724,,0,0,42.26262,,1.677635,96.99809,143.6681,,-40,100,150,,5,5,5,,
0.1888199,0,0.18882,,0,0,42.1773,,1.618448,97.00841,143.8453,,-40,100,150,,5,5,5,,
0.19977,0,0.1997684,,0,0,42.09403,,1.55064,97.0229,143.9512,,-40,100,150,,5,5,5,,
0.2109642,0,0.2109638,,0,0,41.96311,,1.438236,97.04707,144.0792,,-40,100,150,,5,5,5,,
0.2220383,0,0.2220375,,0,0,41.81876,,1.309127,97.06734,144.1893,,-40,100,150,,5,5,5,,
0.2332153,0,0.2332141,,0,0,41.6213,,1.125762,97.09492,144.2934,,-40,100,150,,5,5,5,,
0.2442665,0,0.2442661,,0,0,41.39317,,0.9040453,97.10685,144.3535,,-40,100,150,,5,5,5,,
0.2554226,0,0.2554213,,0,0,41.07173,,0.5768682,97.08698,144.3503,,-40,100,150,,5,5,5,,
0.2665501,0,0.2665492,,0,0,40.63932,,0.1282464,97.02888,144.3035,,-40,100,150,,5,5,5,,
0.2775612,0,0.277561,,0,0,40.13188,,-0.4035796,96.94979,144.2218,,-40,100,150,,5,5,5,,
0.2888317,0,0.2888315,,0,0,39.50525,,-1.073706,96.81487,144.0617,,-40,100,150,,5,5,5,,
0.299881,0,0.2998805,,0,0,38.85837,,-1.776613,96.66214,143.8515,,-40,100,150,,5,5,5,,
0.3109188,0,0.3109187,,0,0,38.13421,,-2.574171,96.49081,143.5804,,-40,100,150,,5,5,5,,
0.3220997,0,0.3220985,,0,0,37.41216,,-3.379877,96.32101,143.2842,,-40,100,150,,5,5,5,,
0.3331776,0,0.3331775,,0,0,36.63775,,-4.249549,96.15756,142.9668,,-40,100,150,,5,5,5,,
0.3442936,0,0.3442922,,0,0,35.89119,,-5.104791,95.99709,142.619,,-40,100,150,,5,5,5,,
0.3554039,0,0.3554035,,0,0,35.14963,,-5.971924,95.86195,142.2242,,-40,100,150,,5,5,5,,
0.3665276,0,0.3665267,,0,0,34.4099,,-6.853836,95.72592,141.8082,,-40,100,150,,5,5,5,,
0.3774948,0,0.3774936,,0,0,33.67822,,-7.749284,95.58245,141.3629,,-40,100,150,,5,5,5,,
0.3887997,0,0.3887981,,0,0,32.95702,,-8.651546,95.46564,140.8962,,-40,100,150,,5,5,5,,
0.3998318,0,0.399831,,0,0,32.28174,,-9.516748,95.36884,140.4379,,-40,100,150,,5,5,5,,
0.4109306,0,0.4109296,,0,0,31.65182,,-10.3386,95.32996,139.9885,,-40,100,150,,5,5,5,,
0.4220676,0,0.4220672,,0,0,31.07795,,-11.12408,95.29312,139.5183,,-40,100,150,,5,5,5,,
0.4331188,0,0.4331171,,0,0,30.5729,,-11.86748,95.25917,139.0096,,-40,100,150,,5,5,5,,
0.4444065,0,0.4444055,,0,0,30.08904,,-12.60907,95.23763,138.4932,,-40,100,150,,5,5,5,,
0.4554386,0,0.4554378,,0,0,29.62035,,-13.35147,95.22201,137.9837,,-40,100,150,,5,5,5,,
0.4665089,0,0.4665071,,0,0,29.19435,,-14.07474,95.21509,137.4583,,-40,100,150,,5,5,5,,
0.4777164,0,0.4777154,,0,0,28.79945,,-14.8022,95.20269,136.9055,,-40,100,150,,5,5,5,,
0.4887829,0,0.4887823,,0,0,28.40362,,-15.54348,95.20654,136.374,,-40,100,150,,5,5,5,,
0.4998703,0,0.4998701,,0,0,28.01721,,-16.28485,95.22662,135.866,,-40,100,150,,5,5,5,,
0.5109234,0,0.5109226,,0,0,27.63521,,-17.01805,95.2784,135.3972,,-40,100,150,,5,5,5,,
0.5220699,0,0.5220699,,0,0,27.27984,,-17.73328,95.35021,134.9414,,-40,100,150,,5,5,5,,
0.5331459,0,0.5331453,,0,0,27.00089,,-18.38619,95.44331,134.4717,,-40,100,150,,5,5,5,,
0.5442524,0,0.5442513,,0,0,26.77808,,-19.01322,95.53621,133.9783,,-40,100,150,,5,5,5,,
0.5554428,0,0.5554417,,0,0,26.60368,,-19.58451,95.6638,133.5027,,-40,100,150,,5,5,5,,
