Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01099205,0,0.01099186,,0,0,46.16448,,0.4338894,95.52999,144.0545,,0,100,190,,5,5,5,,
0.02224159,0,0.02224149,,0,0,46.13174,,0.4265418,95.54324,144.086,,0,100,190,,5,5,5,,
0.0333519,0,0.03335183,,0,0,46.10111,,0.4031662,95.55329,144.1156,,0,100,190,,5,5,5,,
0.04443359,0,0.04443313,,0,0,46.08162,,0.3923232,95.5473,144.1357,,0,100,190,,5,5,5,,
0.05547142,0,0.05547015,,0,0,46.07146,,0.3841092,95.54057,144.1465,,0,100,190,,5,5,5,,
0.06665611,0,0.06665468,,0,0,46.0654,,0.3898393,95.53941,144.1527,,0,100,190,,5,5,5,,
0.07770729,0,0.07770608,,0,0,45.9894,,0.3911394,95.53371,144.2297,,0,100,190,,5,5,5,,
0.088871,0,0.08886978,,0,0,45.93507,,0.4118222,95.54219,144.2836,,0,100,190,,5,5,5,,
0.09995651,0,0.09995548,,0,0,45.89565,,0.4346106,95.55725,144.322,,0,100,190,,5,5,5,,
0.1111317,0,0.1111303,,0,0,45.88688,,0.4689133,95.5671,144.3302,,0,100,190,,5,5,5,,
0.1221638,0,0.1221624,,0,0,45.90565,,0.5087727,95.57471,144.311,,0,100,190,,5,5,5,,
0.1333141,0,0.1333138,,0,0,45.9001,,0.5364581,95.58139,144.3162,,0,100,190,,5,5,5,,
0.1442738,0,0.1442734,,0,0,45.90107,,0.5589604,95.58043,144.3156,,0,100,190,,5,5,5,,
0.1555195,0,0.1555198,,0,0,45.87344,,0.5689585,95.56317,144.3452,,0,100,190,,5,5,5,,
0.166666,0,0.166665,,0,0,45.77186,,0.507402,95.53075,144.4497,,0,100,190,,5,5,5,,
0.177721,0,0.1777214,,0,0,45.78431,,0.5561038,95.52995,144.4378,,0,100,190,,5,5,5,,
0.188942,0,0.1889417,,0,0,45.74755,,0.6072519,95.52938,144.4755,,0,100,190,,5,5,5,,
0.1999416,0,0.1999418,,0,0,45.72024,,0.6172327,95.52496,144.5035,,0,100,190,,5,5,5,,
0.2110329,0,0.2110319,,0,0,45.69205,,0.6040074,95.53223,144.5309,,0,100,190,,5,5,5,,
0.2220821,0,0.2220812,,0,0,45.66727,,0.6149396,95.54772,144.5544,,0,100,190,,5,5,5,,
0.2333469,0,0.2333467,,0,0,45.64986,,0.6564392,95.56698,144.5706,,0,100,190,,5,5,5,,
0.2443542,0,0.2443532,,0,0,45.65261,,0.7146128,95.59115,144.5664,,0,100,190,,5,5,5,,
0.2555141,0,0.2555134,,0,0,45.6608,,0.762737,95.61866,144.5563,,0,100,190,,5,5,5,,
0.2666779,0,0.2666768,,0,0,45.66455,,0.7864699,95.64117,144.5508,,0,100,190,,5,5,5,,
0.2776566,0,0.2776552,,0,0,45.66035,,0.7945301,95.65852,144.5535,,0,100,190,,5,5,5,,
0.2888813,0,0.2888807,,0,0,45.65219,,0.7844194,95.65806,144.5615,,0,100,190,,5,5,5,,
0.2999134,0,0.2999128,,0,0,45.71237,,0.8555024,95.67181,144.501,,0,100,190,,5,5,5,,
0.3110542,0,0.3110533,,0,0,45.7625,,0.9119689,95.66108,144.4528,,0,100,190,,5,5,5,,
0.3221188,0,0.3221179,,0,0,45.79135,,0.9472448,95.64008,144.4265,,0,100,190,,5,5,5,,
0.3332729,0,0.3332722,,0,0,45.79652,,0.9681106,95.60402,144.4252,,0,100,190,,5,5,5,,
0.3443985,0,0.3443981,,0,0,45.80576,,0.9787796,95.55943,144.4205,,0,100,190,,5,5,5,,
0.3554306,0,0.3554299,,0,0,45.77516,,0.9548578,95.53191,144.4534,,0,100,190,,5,5,5,,
0.3666611,0,0.3666613,,0,0,45.78242,,0.9669307,95.45103,144.4544,,0,100,190,,5,5,5,,
0.3779297,0,0.3779286,,0,0,45.80472,,0.9974617,95.26025,144.4521,,0,100,190,,5,5,5,,
0.3889084,0,0.3889072,,0,0,45.76379,,1.002381,95.10987,144.5093,,0,100,190,,5,5,5,,
0.3999367,0,0.3999363,,0,0,45.71216,,1.043276,94.95139,144.5795,,0,100,190,,5,5,5,,
0.4110489,0,0.4110484,,0,0,45.58835,,1.112728,94.77767,144.7254,,0,100,190,,5,5,5,,
0.4221687,0,0.422169,,0,0,45.43371,,1.176455,94.59375,144.9044,,0,100,190,,5,5,5,,
0.4332085,0,0.4332081,,0,0,45.21284,,1.234197,94.37306,145.1557,,0,100,190,,5,5,5,,
0.4444199,0,0.4444202,,0,0,44.94096,,1.279426,94.1552,145.4591,,0,100,190,,5,5,5,,
0.4554596,0,0.4554592,,0,0,44.58366,,1.311367,93.91786,145.8526,,0,100,190,,5,5,5,,
0.4667187,0,0.4667177,,0,0,44.21529,,1.329626,93.68219,146.2586,,0,100,190,,5,5,5,,
0.4777737,0,0.4777735,,0,0,43.81151,,1.328223,93.4457,146.7019,,0,100,190,,5,5,5,,
0.4888744,0,0.4888738,,0,0,43.36915,,1.293786,93.21509,147.1844,,0,100,190,,5,5,5,,
0.5000858,0,0.500085,,0,0,42.92453,,1.250527,92.99496,147.6694,,0,100,190,,5,5,5,,
