Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01083946,0,0.01084055,,0,0,42.47015,,0.8041809,97.5629,151.4698,,0,140,150,,5,5,5,,
0.02215958,0,0.02215997,,0,0,42.47201,,0.8411232,97.56297,151.5044,,0,140,150,,5,5,5,,
0.03324318,0,0.0332445,,0,0,42.45388,,0.8736053,97.58323,151.5446,,0,140,150,,5,5,5,,
0.04412079,0,0.04412082,,0,0,42.43356,,0.9087568,97.60545,151.576,,0,140,150,,5,5,5,,
0.05551147,0,0.05551179,,0,0,42.38697,,0.9704188,97.6543,151.5985,,0,140,150,,5,5,5,,
0.06657219,0,0.06657257,,0,0,42.34379,,1.050051,97.69953,151.6013,,0,140,150,,5,5,5,,
0.07742119,0,0.07742191,,0,0,42.30554,,1.128283,97.73959,151.5949,,0,140,150,,5,5,5,,
0.08887672,0,0.08887799,,0,0,42.2799,,1.176484,97.76617,151.5842,,0,140,150,,5,5,5,,
0.09990501,0,0.09990621,,0,0,42.26091,,1.207201,97.78559,151.572,,0,140,150,,5,5,5,,
0.1110516,0,0.1110526,,0,0,42.25114,,1.218906,97.7949,151.5499,,0,140,150,,5,5,5,,
0.1220646,0,0.1220653,,0,0,42.25788,,1.205493,97.78744,151.5412,,0,140,150,,5,5,5,,
0.133215,0,0.1332155,,0,0,42.25333,,1.212569,97.79166,151.5266,,0,140,150,,5,5,5,,
0.1441803,0,0.1441819,,0,0,42.23571,,1.231955,97.80907,151.5042,,0,140,150,,5,5,5,,
0.1554413,0,0.155442,,0,0,42.12894,,1.20244,97.91627,151.5366,,0,140,150,,5,5,5,,
0.1666031,0,0.1666037,,0,0,42.13734,,1.217889,97.90691,151.498,,0,140,150,,5,5,5,,
0.1774712,0,0.1774727,,0,0,42.14983,,1.232952,97.89394,151.4725,,0,140,150,,5,5,5,,
0.1888638,0,0.1888651,,0,0,42.11328,,1.242307,97.92899,151.4195,,0,140,150,,5,5,5,,
0.1998329,0,0.1998344,,0,0,42.10815,,1.23373,97.93355,151.4099,,0,140,150,,5,5,5,,
0.2107677,0,0.2107694,,0,0,42.09367,,1.210007,97.94771,151.4205,,0,140,150,,5,5,5,,
0.2221413,0,0.2221413,,0,0,42.00853,,1.142845,98.02914,151.3627,,0,140,150,,5,5,5,,
0.2333431,0,0.2333434,,0,0,41.91952,,1.071076,98.11555,151.3386,,0,140,150,,5,5,5,,
0.2441139,0,0.2441145,,0,0,41.80627,,1.002848,98.22666,151.3215,,0,140,150,,5,5,5,,
0.255331,0,0.2553327,,0,0,41.63674,,0.9252315,98.39445,151.3194,,0,140,150,,5,5,5,,
0.2665653,0,0.2665671,,0,0,41.43221,,0.8397161,98.59745,151.3235,,0,140,150,,5,5,5,,
0.2774086,0,0.2774094,,0,0,41.15471,,0.7307371,98.87399,151.3516,,0,140,150,,5,5,5,,
0.2888107,0,0.2888118,,0,0,40.81638,,0.628564,99.21205,151.3875,,0,140,150,,5,5,5,,
0.2999954,0,0.299996,,0,0,40.43288,,0.5415144,99.59545,151.4132,,0,140,150,,5,5,5,,
0.3106632,0,0.3106636,,0,0,39.98591,,0.4601472,100.0424,151.4333,,0,140,150,,5,5,5,,
0.3221302,0,0.3221305,,0,0,39.45191,,0.3753349,100.5762,151.4409,,0,140,150,,5,5,5,,
0.3331127,0,0.3331127,,0,0,38.86206,,0.2780069,101.1657,151.4428,,0,140,150,,5,5,5,,
0.3441105,0,0.344111,,0,0,38.23803,,0.1727381,101.7898,151.4488,,0,140,150,,5,5,5,,
0.3554268,0,0.3554284,,0,0,37.51123,,0.06597092,102.5172,151.4591,,0,140,150,,5,5,5,,
0.3666172,0,0.3666182,,0,0,36.75105,,-0.03951249,103.2786,151.4751,,0,140,150,,5,5,5,,
0.3774719,0,0.3774731,,0,0,35.90693,,-0.1506244,104.1249,151.5038,,0,140,150,,5,5,5,,
0.388834,0,0.3888342,,0,0,35.00847,,-0.2653501,105.0268,151.5494,,0,140,150,,5,5,5,,
0.3999729,0,0.3999732,,0,0,34.07394,,-0.3909331,105.9663,151.6094,,0,140,150,,5,5,5,,
0.411026,0,0.4110261,,0,0,33.06604,,-0.5238572,106.9817,151.6972,,0,140,150,,5,5,5,,
0.4222584,0,0.4222596,,0,0,32.04856,,-0.6534703,108.0091,151.8076,,0,140,150,,5,5,5,,
0.433279,0,0.4332799,,0,0,30.96421,,-0.7480505,109.1073,151.9652,,0,140,150,,5,5,5,,
0.4440403,0,0.4440413,,0,0,29.85322,,-0.7809452,110.2343,152.1463,,0,140,150,,5,5,5,,
0.4556656,0,0.4556671,,0,0,28.68046,,-0.7360321,111.4278,152.3787,,0,140,150,,5,5,5,,
0.466629,0,0.4666303,,0,0,27.51704,,-0.6940618,112.617,152.6224,,0,140,150,,5,5,5,,
0.477356,0,0.4773576,,0,0,26.34622,,-0.6659013,113.8231,152.9065,,0,140,150,,5,5,5,,
0.4888229,0,0.4888237,,0,0,25.20372,,-0.6722476,115.0109,153.2126,,0,140,150,,5,5,5,,
0.4999523,0,0.4999533,,0,0,24.0991,,-0.7104266,116.1687,153.5117,,0,140,150,,5,5,5,,
0.5110798,0,0.5110813,,0,0,23.04507,,-0.7914013,117.2855,153.8079,,0,140,150,,5,5,5,,
0.52211,0,0.5221101,,0,0,22.02394,,-0.8739548,118.3778,154.0954,,0,140,150,,5,5,5,,
0.5332642,0,0.533265,,0,0,21.03697,,-0.9476597,119.4433,154.3678,,0,140,150,,5,5,5,,
0.5439892,0,0.5439909,,0,0,20.0751,,-0.9950122,120.4867,154.61,,0,140,150,,5,5,5,,
0.5555553,0,0.555556,,0,0,19.15059,,-1.024888,121.4914,154.8089,,0,140,150,,5,5,5,,
0.5666275,0,0.5666279,,0,0,18.25324,,-1.055275,122.474,154.9905,,0,140,150,,5,5,5,,
0.5777416,0,0.5777429,,0,0,17.40505,,-1.089412,123.4087,155.1458,,0,140,150,,5,5,5,,
0.5889416,0,0.5889427,,0,0,16.60647,,-1.132568,124.3075,155.3138,,0,140,150,,5,5,5,,
0.599905,0,0.5999067,,0,0,15.83854,,-1.184878,125.191,155.4908,,0,140,150,,5,5,5,,
0.611105,0,0.6111056,,0,0,15.1119,,-1.230122,126.0398,155.6543,,0,140,150,,5,5,5,,
0.6222534,0,0.6222543,,0,0,14.40891,,-1.270777,126.8675,155.7912,,0,140,150,,5,5,5,,
0.6333542,0,0.6333541,,0,0,13.74937,,-1.30251,127.639,155.8782,,0,140,150,,5,5,5,,
0.6445313,0,0.6445318,,0,0,13.10573,,-1.32278,128.3902,155.9349,,0,140,150,,5,5,5,,
0.6555157,0,0.6555158,,0,0,12.4966,,-1.316752,129.0876,155.9457,,0,140,150,,5,5,5,,
0.6666412,0,0.6666428,,0,0,11.91593,,-1.31324,129.7608,155.9518,,0,140,150,,5,5,5,,
0.6777134,0,0.6777136,,0,0,11.39638,,-1.315191,130.3716,155.9532,,0,140,150,,5,5,5,,
0.6888924,0,0.6888928,,0,0,10.9301,,-1.32303,130.9452,155.9772,,0,140,150,,5,5,5,,
0.699913,0,0.6999134,,0,0,10.49582,,-1.335373,131.5047,156.0173,,0,140,150,,5,5,5,,
0.7111187,0,0.7111191,,0,0,10.13121,,-1.341336,132.0034,156.0742,,0,140,150,,5,5,5,,
0.7223167,0,0.7223168,,0,0,9.800686,,-1.338309,132.4879,156.1507,,0,140,150,,5,5,5,,
0.7333088,0,0.7333099,,0,0,9.509279,,-1.287876,132.9387,156.2374,,0,140,150,,5,5,5,,
0.7444801,0,0.7444818,,0,0,9.234202,,-1.210934,133.3748,156.3175,,0,140,150,,5,5,5,,
0.7554607,0,0.7554607,,0,0,8.999732,,-1.098524,133.7683,156.3996,,0,140,150,,5,5,5,,
0.7666626,0,0.7666631,,0,0,8.788262,,-0.9846644,134.1436,156.4781,,0,140,150,,5,5,5,,
0.7778206,0,0.777821,,0,0,8.620807,,-0.8883668,134.458,156.5434,,0,140,150,,5,5,5,,
0.7888489,0,0.7888492,,0,0,8.476016,,-0.8149393,134.7314,156.5894,,0,140,150,,5,5,5,,
0.7999134,0,0.7999138,,0,0,8.337956,,-0.740711,134.9858,156.6205,,0,140,150,,5,5,5,,
0.811182,0,0.8111819,,0,0,8.215647,,-0.6694501,135.2012,156.6348,,0,140,150,,5,5,5,,
0.8222275,0,0.8222274,,0,0,8.101599,,-0.5947961,135.4124,156.651,,0,140,150,,5,5,5,,
0.8332176,0,0.8332193,,0,0,8.001523,,-0.5143358,135.5999,156.6633,,0,140,150,,5,5,5,,
0.8444748,0,0.8444762,,0,0,7.917127,,-0.4295636,135.7816,156.6859,,0,140,150,,5,5,5,,
0.8556519,0,0.8556517,,0,0,7.85267,,-0.3304,135.9545,156.7223,,0,140,150,,5,5,5,,
0.8666592,0,0.8666594,,0,0,7.793091,,-0.2270774,136.1298,156.7603,,0,140,150,,5,5,5,,
0.877861,0,0.8778618,,0,0,7.748318,,-0.1527731,136.261,156.7847,,0,140,150,,5,5,5,,
0.8888435,0,0.888844,,0,0,7.685467,,-0.09132893,136.4313,156.806,,0,140,150,,5,5,5,,
0.9001141,0,0.9001154,,0,0,7.621607,,-0.04778863,136.5714,156.8067,,0,140,150,,5,5,5,,
0.9111233,0,0.9111242,,0,0,7.537411,,0.005194333,136.7043,156.7787,,0,140,150,,5,5,5,,
0.9222145,0,0.9222161,,0,0,7.435309,,0.09985132,136.8454,156.7322,,0,140,150,,5,5,5,,
0.9334412,0,0.9334417,,0,0,7.297956,,0.2367786,136.9974,156.6474,,0,140,150,,5,5,5,,
