Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01124954,0,0.0112502,,0,0,40.76783,,0.7263132,99.19376,151.6533,,-40,100,150,,5,5,5,,
0.02229309,0,0.02229512,,0,0,40.74531,,0.7036957,99.1718,151.6442,,-40,100,150,,5,5,5,,
0.03335953,0,0.03336175,,0,0,40.70794,,0.6659011,99.15093,151.6432,,-40,100,150,,5,5,5,,
0.04449844,0,0.04449993,,0,0,40.67923,,0.6369144,99.14093,151.644,,-40,100,150,,5,5,5,,
0.05559921,0,0.05559998,,0,0,40.65504,,0.6132605,99.12328,151.6207,,-40,100,150,,5,5,5,,
0.06672668,0,0.06672672,,0,0,40.60247,,0.5628532,99.11839,151.5616,,-40,100,150,,5,5,5,,
0.07780457,0,0.07780449,,0,0,40.56429,,0.5270907,99.10989,151.4913,,-40,100,150,,5,5,5,,
0.08908844,0,0.08908841,,0,0,40.53425,,0.4985069,99.0942,151.4408,,-40,100,150,,5,5,5,,
0.1000595,0,0.1000589,,0,0,40.50526,,0.4702448,99.08301,151.4124,,-40,100,150,,5,5,5,,
0.1112061,0,0.111205,,0,0,40.48206,,0.4478296,99.07845,151.3861,,-40,100,150,,5,5,5,,
0.1223373,0,0.1223381,,0,0,40.48208,,0.4480702,99.07124,151.3747,,-40,100,150,,5,5,5,,
0.1334152,0,0.1334168,,0,0,40.42401,,0.3882271,99.06055,151.4176,,-40,100,150,,5,5,5,,
0.1446381,0,0.1446386,,0,0,40.48053,,0.4474986,99.05465,151.3339,,-40,100,150,,5,5,5,,
0.1555862,0,0.1555873,,0,0,40.52857,,0.4965174,99.0355,151.2912,,-40,100,150,,5,5,5,,
0.1667366,0,0.1667363,,0,0,40.55144,,0.5197216,99.03408,151.2799,,-40,100,150,,5,5,5,,
0.1779709,0,0.1779727,,0,0,40.537,,0.504145,99.02136,151.3057,,-40,100,150,,5,5,5,,
0.189045,0,0.1890446,,0,0,40.54037,,0.5071821,99.02604,151.3196,,-40,100,150,,5,5,5,,
0.2001801,0,0.2001811,,0,0,40.57411,,0.5402609,99.06327,151.3667,,-40,100,150,,5,5,5,,
0.2111702,0,0.21117,,0,0,40.5847,,0.5500752,99.08461,151.4041,,-40,100,150,,5,5,5,,
0.2223473,0,0.2223469,,0,0,40.58007,,0.5445083,99.12073,151.4533,,-40,100,150,,5,5,5,,
0.2333717,0,0.233373,,0,0,40.52245,,0.4862763,99.17573,151.5003,,-40,100,150,,5,5,5,,
0.2445679,0,0.2445696,,0,0,40.38762,,0.3515857,99.22437,151.5191,,-40,100,150,,5,5,5,,
0.2558708,0,0.2558705,,0,0,40.10054,,0.06584026,99.26204,151.4956,,-40,100,150,,5,5,5,,
0.2668266,0,0.2668257,,0,0,39.67085,,-0.3612882,99.26293,151.4163,,-40,100,150,,5,5,5,,
0.2778854,0,0.277885,,0,0,38.94823,,-1.079326,99.17818,151.2128,,-40,100,150,,5,5,5,,
0.2888947,0,0.2888941,,0,0,38.05726,,-1.965782,99.04021,150.9121,,-40,100,150,,5,5,5,,
0.3000946,0,0.3000953,,0,0,36.81542,,-3.207157,98.78523,150.4314,,-40,100,150,,5,5,5,,
0.3111916,0,0.3111919,,0,0,35.38502,,-4.64859,98.46283,149.8795,,-40,100,150,,5,5,5,,
0.3223724,0,0.3223743,,0,0,33.54106,,-6.530139,97.98032,149.1682,,-40,100,150,,5,5,5,,
0.3334007,0,0.3333999,,0,0,31.45871,,-8.692886,97.3894,148.3569,,-40,100,150,,5,5,5,,
0.344532,0,0.3445337,,0,0,29.38294,,-10.90164,96.78262,147.4918,,-40,100,150,,5,5,5,,
0.3557205,0,0.3557226,,0,0,27.28438,,-13.23001,96.08118,146.4719,,-40,100,150,,5,5,5,,
0.3667679,0,0.366769,,0,0,25.3902,,-15.44395,95.39481,145.4773,,-40,100,150,,5,5,5,,
0.3779678,0,0.3779688,,0,0,23.68275,,-17.58192,94.69669,144.5066,,-40,100,150,,5,5,5,,
0.3890724,0,0.3890724,,0,0,22.19557,,-19.59116,94.04771,143.6209,,-40,100,150,,5,5,5,,
0.4001122,0,0.4001108,,0,0,20.93381,,-21.42256,93.49789,142.8708,,-40,100,150,,5,5,5,,
