Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01081085,0,0.01081091,,0,0,38.56373,,0.03726412,98.56293,149.7544,,0,60,150,,5,5,5,,
0.0222702,0,0.02227137,,0,0,38.53645,,0.05062415,98.53562,149.7528,,0,60,150,,5,5,5,,
0.03329849,0,0.03329841,,0,0,38.51349,,0.05654482,98.5127,149.7589,,0,60,150,,5,5,5,,
0.04398727,0,0.0439888,,0,0,38.48932,,0.06143805,98.48859,149.7705,,0,60,150,,5,5,5,,
0.05565262,0,0.05565512,,0,0,38.42993,,0.07863813,98.42921,149.7787,,0,60,150,,5,5,5,,
0.0667305,0,0.06673142,,0,0,38.37061,,0.0946463,98.36992,149.7908,,0,60,150,,5,5,5,,
0.07739258,0,0.07739307,,0,0,38.29647,,0.1153543,98.29588,149.8201,,0,60,150,,5,5,5,,
0.08885956,0,0.08886027,,0,0,38.24352,,0.1356921,98.24298,149.8496,,0,60,150,,5,5,5,,
0.09986115,0,0.09986121,,0,0,38.18071,,0.1793348,98.18017,149.9056,,0,60,150,,5,5,5,,
0.111145,0,0.1111472,,0,0,38.12209,,0.2302788,98.12138,149.9657,,0,60,150,,5,5,5,,
0.1221619,0,0.1221643,,0,0,38.08102,,0.2768659,98.07999,150.0404,,0,60,150,,5,5,5,,
0.1332932,0,0.133293,,0,0,38.07615,,0.298862,98.07487,150.0853,,0,60,150,,5,5,5,,
0.1441307,0,0.1441327,,0,0,38.06509,,0.3492348,98.06307,150.1785,,0,60,150,,5,5,5,,
0.155571,0,0.1555735,,0,0,38.09414,,0.3706057,98.09144,150.2621,,0,60,150,,5,5,5,,
0.1666451,0,0.1666478,,0,0,38.11137,,0.3731171,98.10884,150.2317,,0,60,150,,5,5,5,,
0.1777573,0,0.1777581,,0,0,38.17756,,0.4547323,98.17371,150.2961,,0,60,150,,5,5,5,,
0.1888618,0,0.1888637,,0,0,38.25265,,0.4738549,98.2484,150.3174,,0,60,150,,5,5,5,,
0.1999168,0,0.1999183,,0,0,38.34114,,0.4683643,98.33678,150.3394,,0,60,150,,5,5,5,,
0.2111549,0,0.2111568,,0,0,38.58044,,0.5105973,98.5751,150.3888,,0,60,150,,5,5,5,,
0.2223969,0,0.2223958,,0,0,38.79887,,0.5217729,98.79318,150.4112,,0,60,150,,5,5,5,,
0.233551,0,0.2335531,,0,0,39.05072,,0.5345873,99.04472,150.4282,,0,60,150,,5,5,5,,
0.2444649,0,0.2444649,,0,0,39.31425,,0.5530195,99.30798,150.4336,,0,60,150,,5,5,5,,
0.255455,0,0.2554573,,0,0,39.62225,,0.58421,99.61566,150.4246,,0,60,150,,5,5,5,,
