Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01134491,0,0.0113455,,0,0,44.89307,,0.4631122,96.25475,145.2658,,0,100,190,,5,5,5,,
0.02234459,0,0.02234467,,0,0,44.89441,,0.4534487,96.23969,145.2656,,0,100,190,,5,5,5,,
0.03347588,0,0.0334761,,0,0,44.8939,,0.451373,96.2098,145.2687,,0,100,190,,5,5,5,,
0.04455566,0,0.04455621,,0,0,44.88784,,0.4535916,96.17215,145.278,,0,100,190,,5,5,5,,
0.05574608,0,0.05574717,,0,0,44.87041,,0.4512544,96.08204,145.3033,,0,100,190,,5,5,5,,
0.06676674,0,0.06676833,,0,0,44.82037,,0.4378436,95.98059,145.3624,,0,100,190,,5,5,5,,
0.0780735,0,0.07807513,,0,0,44.7737,,0.435488,95.9337,145.4135,,0,100,190,,5,5,5,,
0.08921432,0,0.08921564,,0,0,44.72956,,0.4595872,95.90553,145.4606,,0,100,190,,5,5,5,,
0.1001091,0,0.1001107,,0,0,44.69852,,0.4987926,95.89039,145.4936,,0,100,190,,5,5,5,,
0.1112957,0,0.1112961,,0,0,44.68317,,0.5627049,95.89609,145.5092,,0,100,190,,5,5,5,,
0.1223335,0,0.1223346,,0,0,44.65913,,0.6283495,95.89752,145.5341,,0,100,190,,5,5,5,,
0.133173,0,0.1331742,,0,0,44.62204,,0.6826277,95.9015,145.5718,,0,100,190,,5,5,5,,
0.1446648,0,0.1446663,,0,0,44.57359,,0.7177626,95.90734,145.6205,,0,100,190,,5,5,5,,
0.1556816,0,0.1556819,,0,0,44.45463,,0.7273586,95.91261,145.7397,,0,100,190,,5,5,5,,
0.1667461,0,0.1667462,,0,0,44.43383,,0.7180758,95.92952,145.7588,,0,100,190,,5,5,5,,
0.1778965,0,0.1778982,,0,0,44.38832,,0.7703593,95.91266,145.807,,0,100,190,,5,5,5,,
0.1890831,0,0.1890832,,0,0,44.33722,,0.8406474,95.9024,145.8605,,0,100,190,,5,5,5,,
0.1998577,0,0.199859,,0,0,44.2983,,0.9046741,95.8856,145.9025,,0,100,190,,5,5,5,,
0.2113647,0,0.211366,,0,0,44.26683,,0.9638367,95.83829,145.9398,,0,100,190,,5,5,5,,
0.222477,0,0.2224781,,0,0,44.23798,,1.015076,95.77393,145.976,,0,100,190,,5,5,5,,
0.2332306,0,0.2332321,,0,0,44.20584,,1.035335,95.67028,146.0189,,0,100,190,,5,5,5,,
0.2446861,0,0.2446867,,0,0,44.14937,,0.9957868,95.55074,146.0867,,0,100,190,,5,5,5,,
0.2557144,0,0.2557143,,0,0,44.0785,,0.9370686,95.42864,146.1692,,0,100,190,,5,5,5,,
0.2665901,0,0.2665909,,0,0,43.98643,,0.8682739,95.29797,146.2742,,0,100,190,,5,5,5,,
0.2780132,0,0.2780138,,0,0,43.87708,,0.8163667,95.18326,146.3958,,0,100,190,,5,5,5,,
0.2890778,0,0.2890778,,0,0,43.72923,,0.7757178,95.08836,146.5544,,0,100,190,,5,5,5,,
0.3000355,0,0.3000368,,0,0,43.57074,,0.7487839,94.992,146.7245,,0,100,190,,5,5,5,,
0.3111839,0,0.3111838,,0,0,43.39643,,0.7264347,94.89316,146.9112,,0,100,190,,5,5,5,,
0.3224773,0,0.3224783,,0,0,43.20795,,0.7113739,94.783,147.1141,,0,100,190,,5,5,5,,
0.333252,0,0.3332519,,0,0,42.97419,,0.6963859,94.66016,147.3645,,0,100,190,,5,5,5,,
0.3446541,0,0.3446543,,0,0,42.69748,,0.6763032,94.52689,147.6602,,0,100,190,,5,5,5,,
0.3557873,0,0.3557884,,0,0,42.38265,,0.6454676,94.38975,147.9953,,0,100,190,,5,5,5,,
0.366497,0,0.366497,,0,0,42.01454,,0.6065823,94.24844,148.3854,,0,100,190,,5,5,5,,
0.3779716,0,0.3779724,,0,0,41.5639,,0.5740011,94.11574,148.8587,,0,100,190,,5,5,5,,
0.3890076,0,0.3890082,,0,0,41.04673,,0.5463827,94.00532,149.397,,0,100,190,,5,5,5,,
0.3998909,0,0.399891,,0,0,40.47753,,0.5193448,93.91477,149.9859,,0,100,190,,5,5,5,,
0.4112263,0,0.4112274,,0,0,39.81617,,0.4992802,93.85297,150.6644,,0,100,190,,5,5,5,,
0.4225044,0,0.4225054,,0,0,39.14288,,0.4855881,93.79945,151.3544,,0,100,190,,5,5,5,,
0.4332333,0,0.4332336,,0,0,38.40348,,0.4688252,93.77195,152.1078,,0,100,190,,5,5,5,,
0.4445381,0,0.4445393,,0,0,37.62286,,0.4440028,93.776,152.8982,,0,100,190,,5,5,5,,
0.4557056,0,0.4557056,,0,0,36.83076,,0.4127083,93.79474,153.6981,,0,100,190,,5,5,5,,
0.4664555,0,0.4664561,,0,0,36.01246,,0.3631548,93.85374,154.5178,,0,100,190,,5,5,5,,
0.477972,0,0.4779738,,0,0,35.16955,,0.2971371,93.96189,155.3539,,0,100,190,,5,5,5,,
0.4890499,0,0.4890512,,0,0,34.30729,,0.2278663,94.09637,156.2052,,0,100,190,,5,5,5,,
0.4998474,0,0.4998481,,0,0,33.43817,,0.1628648,94.26012,157.0586,,0,100,190,,5,5,5,,
0.5113144,0,0.5113144,,0,0,32.54142,,0.1017657,94.46517,157.9329,,0,100,190,,5,5,5,,
0.5224609,0,0.5224614,,0,0,31.62368,,0.03992687,94.67892,158.8272,,0,100,190,,5,5,5,,
0.5331898,0,0.5331907,,0,0,30.65322,,-0.03764996,94.92625,159.7696,,0,100,190,,5,5,5,,
0.5444736,0,0.544475,,0,0,29.65735,,-0.1270779,95.1782,160.7375,,0,100,190,,5,5,5,,
0.5557423,0,0.5557424,,0,0,28.6152,,-0.20636,95.47828,161.7451,,0,100,190,,5,5,5,,
0.5666084,0,0.5666091,,0,0,27.56741,,-0.244569,95.80238,162.7551,,0,100,190,,5,5,5,,
0.5779266,0,0.5779276,,0,0,26.51637,,-0.2664892,96.14151,163.7672,,0,100,190,,5,5,5,,
0.5891705,0,0.5891722,,0,0,25.46369,,-0.2760403,96.50616,164.7787,,0,100,190,,5,5,5,,
0.5999088,0,0.5999092,,0,0,24.44062,,-0.275059,96.86091,165.7634,,0,100,190,,5,5,5,,
0.6112175,0,0.6112177,,0,0,23.46519,,-0.2637105,97.20537,166.7033,,0,100,190,,5,5,5,,
0.6223106,0,0.6223119,,0,0,22.52977,,-0.2706168,97.51735,167.6091,,0,100,190,,5,5,5,,
0.6331081,0,0.6331091,,0,0,21.65475,,-0.294144,97.8139,168.4579,,0,100,190,,5,5,5,,
0.6445866,0,0.6445878,,0,0,20.82718,,-0.3341036,98.08974,169.2633,,0,100,190,,5,5,5,,
0.6557274,0,0.6557289,,0,0,20.09028,,-0.4134531,98.3187,169.9845,,0,100,190,,5,5,5,,
0.6666851,0,0.6666864,,0,0,19.39643,,-0.5199178,98.51157,170.6678,,0,100,190,,5,5,5,,
0.6779461,0,0.6779478,,0,0,18.70735,,-0.6341946,98.70936,171.348,,0,100,190,,5,5,5,,
0.6891556,0,0.6891557,,0,0,18.05707,,-0.7444565,98.89941,171.9919,,0,100,190,,5,5,5,,
