Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01137924,0,0.01137981,,0,0,39.52385,,0.5507786,98.06032,151.4598,,40,100,150,,5,5,5,,
0.0226841,0,0.02268425,,0,0,39.48286,,0.5921702,98.06004,151.4683,,40,100,150,,5,5,5,,
0.03329659,0,0.03329546,,0,0,39.43557,,0.6393123,98.07182,151.4772,,40,100,150,,5,5,5,,
0.04464722,0,0.04464682,,0,0,39.38168,,0.6915628,98.09034,151.4548,,40,100,150,,5,5,5,,
0.05580521,0,0.05580552,,0,0,39.3233,,0.7470412,98.10748,151.3947,,40,100,150,,5,5,5,,
0.06678772,0,0.06678827,,0,0,39.26944,,0.7978796,98.11938,151.3213,,40,100,150,,5,5,5,,
0.07801628,0,0.07801647,,0,0,39.20696,,0.8580052,98.12927,151.261,,40,100,150,,5,5,5,,
0.08912277,0,0.0891218,,0,0,39.13368,,0.9294776,98.14275,151.2207,,40,100,150,,5,5,5,,
0.09993172,0,0.09993153,,0,0,39.06036,,1.000718,98.16579,151.1848,,40,100,150,,5,5,5,,
0.1114388,0,0.111438,,0,0,38.988,,1.07129,98.18861,151.157,,40,100,150,,5,5,5,,
0.1224022,0,0.122402,,0,0,38.92624,,1.13209,98.19801,151.1358,,40,100,150,,5,5,5,,
0.1333046,0,0.133305,,0,0,38.86209,,1.19517,98.21838,151.1285,,40,100,150,,5,5,5,,
0.1446018,0,0.1446012,,0,0,38.79102,,1.265296,98.24422,151.1327,,40,100,150,,5,5,5,,
0.1557846,0,0.1557851,,0,0,38.68648,,1.36895,98.28496,151.1593,,40,100,150,,5,5,5,,
0.166647,0,0.1666465,,0,0,38.50858,,1.545625,98.34765,151.2005,,40,100,150,,5,5,5,,
0.177969,0,0.1779679,,0,0,38.26712,,1.785346,98.42305,151.2353,,40,100,150,,5,5,5,,
0.1890907,0,0.18909,,0,0,37.94556,,2.105609,98.50376,151.2814,,40,100,150,,5,5,5,,
0.2000751,0,0.2000739,,0,0,37.59918,,2.45244,98.57659,151.3611,,40,100,150,,5,5,5,,
0.2113247,0,0.2113241,,0,0,37.24171,,2.81066,98.66048,151.4503,,40,100,150,,5,5,5,,
0.2224388,0,0.2224382,,0,0,36.85224,,3.202028,98.74341,151.5549,,40,100,150,,5,5,5,,
0.2332211,0,0.2332198,,0,0,36.43574,,3.622515,98.84835,151.7074,,40,100,150,,5,5,5,,
0.2446022,0,0.2446026,,0,0,35.92762,,4.138686,98.96506,151.9207,,40,100,150,,5,5,5,,
