Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01125717,0,0.0112555,,0,0,40.85596,,0.3851654,97.79721,144.2211,,-40,100,150,,5,5,5,,
0.02232361,0,0.02232302,,0,0,40.79182,,0.3249301,97.7223,144.2829,,-40,100,150,,5,5,5,,
0.03342438,0,0.03342339,,0,0,40.72517,,0.2579592,97.65277,144.3143,,-40,100,150,,5,5,5,,
0.044487,0,0.0444871,,0,0,40.64428,,0.1733937,97.57497,144.3277,,-40,100,150,,5,5,5,,
0.0555954,0,0.05559304,,0,0,40.55942,,0.08305134,97.49393,144.3312,,-40,100,150,,5,5,5,,
0.0668335,0,0.06683183,,0,0,40.47551,,-0.01102626,97.41749,144.3009,,-40,100,150,,5,5,5,,
0.07783127,0,0.07782985,,0,0,40.41407,,-0.08277205,97.35468,144.2629,,-40,100,150,,5,5,5,,
0.08898926,0,0.08898858,,0,0,40.38771,,-0.1179688,97.29779,144.2304,,-40,100,150,,5,5,5,,
0.1002617,0,0.1002605,,0,0,40.38138,,-0.1315188,97.24655,144.2053,,-40,100,150,,5,5,5,,
0.1112328,0,0.1112304,,0,0,40.3769,,-0.1420759,97.20501,144.1838,,-40,100,150,,5,5,5,,
0.1222763,0,0.122275,,0,0,40.38242,,-0.1426058,97.17506,144.1564,,-40,100,150,,5,5,5,,
0.133419,0,0.1334182,,0,0,40.37781,,-0.154632,97.1462,144.1204,,-40,100,150,,5,5,5,,
0.1446114,0,0.1446112,,0,0,40.36253,,-0.1782606,97.11705,144.0795,,-40,100,150,,5,5,5,,
0.1555481,0,0.1555453,,0,0,40.35286,,-0.1959812,97.09117,144.0391,,-40,100,150,,5,5,5,,
0.1667786,0,0.1667771,,0,0,40.36239,,-0.192735,97.07829,144.0027,,-40,100,150,,5,5,5,,
0.1778717,0,0.1778719,,0,0,40.38659,,-0.17086,97.07694,143.9857,,-40,100,150,,5,5,5,,
0.1889801,0,0.188979,,0,0,40.36486,,-0.1820883,97.06238,144.0649,,-40,100,150,,5,5,5,,
0.2002106,0,0.2002099,,0,0,40.43073,,-0.121236,97.0934,144.01,,-40,100,150,,5,5,5,,
0.211216,0,0.2112155,,0,0,40.45385,,-0.09696176,97.11485,144.0052,,-40,100,150,,5,5,5,,
0.2224236,0,0.222422,,0,0,40.46972,,-0.08253869,97.10747,143.9977,,-40,100,150,,5,5,5,,
0.2334747,0,0.2334755,,0,0,40.43592,,-0.1173215,97.07169,144.0116,,-40,100,150,,5,5,5,,
0.2445526,0,0.2445518,,0,0,40.31102,,-0.2468932,96.97964,144.0379,,-40,100,150,,5,5,5,,
0.2555847,0,0.2555833,,0,0,40.11672,,-0.4524577,96.8521,144.0473,,-40,100,150,,5,5,5,,
0.2667656,0,0.2667654,,0,0,39.79361,,-0.7995694,96.6665,144.0212,,-40,100,150,,5,5,5,,
0.2781029,0,0.2781001,,0,0,39.40695,,-1.221023,96.46327,143.951,,-40,100,150,,5,5,5,,
0.2890015,0,0.2890017,,0,0,38.87158,,-1.809718,96.21145,143.8235,,-40,100,150,,5,5,5,,
0.3000755,0,0.3000727,,0,0,38.24294,,-2.512607,95.92828,143.6251,,-40,100,150,,5,5,5,,
0.311161,0,0.3111605,,0,0,37.58514,,-3.259275,95.63893,143.3861,,-40,100,150,,5,5,5,,
0.3223038,0,0.3223025,,0,0,36.84304,,-4.11138,95.32912,143.1007,,-40,100,150,,5,5,5,,
0.3334656,0,0.3334633,,0,0,36.11777,,-4.958213,95.02971,142.7984,,-40,100,150,,5,5,5,,
0.3444557,0,0.3444555,,0,0,35.3501,,-5.864932,94.74772,142.4607,,-40,100,150,,5,5,5,,
0.3556557,0,0.3556544,,0,0,34.59843,,-6.77332,94.49877,142.0769,,-40,100,150,,5,5,5,,
0.3667488,0,0.3667465,,0,0,33.83099,,-7.724984,94.29588,141.6142,,-40,100,150,,5,5,5,,
0.3778267,0,0.3778255,,0,0,33.08565,,-8.675667,94.12036,141.1188,,-40,100,150,,5,5,5,,
0.3889236,0,0.388922,,0,0,32.33491,,-9.667136,93.99026,140.5477,,-40,100,150,,5,5,5,,
0.4000816,0,0.4000796,,0,0,31.59728,,-10.67415,93.87708,139.9555,,-40,100,150,,5,5,5,,
0.41119,0,0.4111899,,0,0,30.87477,,-11.69077,93.75261,139.3788,,-40,100,150,,5,5,5,,
0.4223099,0,0.4223085,,0,0,30.13978,,-12.74604,93.64401,138.8094,,-40,100,150,,5,5,5,,
0.4334526,0,0.4334534,,0,0,29.42612,,-13.82819,93.54452,138.1992,,-40,100,150,,5,5,5,,
0.4444542,0,0.4444541,,0,0,28.75877,,-14.94685,93.46661,137.4812,,-40,100,150,,5,5,5,,
0.4556694,0,0.45567,,0,0,28.16228,,-16.06312,93.40018,136.7116,,-40,100,150,,5,5,5,,
0.4667168,0,0.4667175,,0,0,27.63486,,-17.19667,93.34767,135.8777,,-40,100,150,,5,5,5,,
0.4779625,0,0.4779601,,0,0,27.17404,,-18.32907,93.28765,135.0419,,-40,100,150,,5,5,5,,
0.4889679,0,0.4889684,,0,0,26.79547,,-19.45603,93.22372,134.1878,,-40,100,150,,5,5,5,,
0.5000153,0,0.5000139,,0,0,26.51988,,-20.53074,93.14007,133.3509,,-40,100,150,,5,5,5,,
0.5112419,0,0.5112424,,0,0,26.26316,,-21.61171,93.09618,132.5655,,-40,100,150,,5,5,5,,
0.5223389,0,0.5223376,,0,0,26.09996,,-22.6497,93.06848,131.7756,,-40,100,150,,5,5,5,,
0.5333977,0,0.533398,,0,0,26.04423,,-23.6348,93.02146,130.9794,,-40,100,150,,5,5,5,,
0.5445328,0,0.5445304,,0,0,26.07052,,-24.56694,92.97388,130.1978,,-40,100,150,,5,5,5,,
0.5556946,0,0.5556944,,0,0,26.14071,,-25.4746,92.92233,129.4511,,-40,100,150,,5,5,5,,
0.5667419,0,0.5667428,,0,0,26.24359,,-26.3205,92.86401,128.7709,,-40,100,150,,5,5,5,,
0.577816,0,0.5778162,,0,0,26.3736,,-27.11875,92.8102,128.138,,-40,100,150,,5,5,5,,
0.5890427,0,0.589043,,0,0,26.50192,,-27.83557,92.75497,127.5971,,-40,100,150,,5,5,5,,
