Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.0109086,0,0.01090888,,0,0,40.65527,,0.3892621,100.629,148.5913,,0,60,150,,5,5,5,,
0.02211094,0,0.022111,,0,0,40.62679,,0.3770957,100.6028,148.6545,,0,60,150,,5,5,5,,
0.03313303,0,0.03313337,,0,0,40.59388,,0.3821499,100.5714,148.7059,,0,60,150,,5,5,5,,
0.04433966,0,0.04433989,,0,0,40.56922,,0.389085,100.5477,148.7377,,0,60,150,,5,5,5,,
0.05545378,0,0.05545404,,0,0,40.54193,,0.3954181,100.5211,148.7609,,0,60,150,,5,5,5,,
0.06647635,0,0.0664764,,0,0,40.52753,,0.3918449,100.5071,148.7729,,0,60,150,,5,5,5,,
0.0776372,0,0.07763748,,0,0,40.49948,,0.394952,100.48,148.808,,0,60,150,,5,5,5,,
0.08869553,0,0.08869591,,0,0,40.47027,,0.4196137,100.4517,148.8483,,0,60,150,,5,5,5,,
0.09995651,0,0.09995698,,0,0,40.4635,,0.4439753,100.4454,148.8755,,0,60,150,,5,5,5,,
0.1109352,0,0.1109354,,0,0,40.4721,,0.468902,100.4544,148.8997,,0,60,150,,5,5,5,,
0.1220884,0,0.1220885,,0,0,40.48655,,0.4775012,100.4691,148.9122,,0,60,150,,5,5,5,,
0.1332521,0,0.1332525,,0,0,40.50312,,0.4972948,100.4858,148.9241,,0,60,150,,5,5,5,,
0.1443877,0,0.1443881,,0,0,40.52198,,0.5259112,100.5045,148.9338,,0,60,150,,5,5,5,,
0.1554694,0,0.1554697,,0,0,40.53381,,0.5314037,100.516,148.9239,,0,60,150,,5,5,5,,
0.1665368,0,0.1665372,,0,0,40.54842,,0.5420799,100.5304,148.9213,,0,60,150,,5,5,5,,
0.1776309,0,0.1776311,,0,0,40.57266,,0.5790012,100.5543,148.9258,,0,60,150,,5,5,5,,
0.1887293,0,0.1887294,,0,0,40.59467,,0.650218,100.5753,148.927,,0,60,150,,5,5,5,,
0.1998196,0,0.1998198,,0,0,40.56447,,0.7175637,100.545,148.9676,,0,60,150,,5,5,5,,
0.2109542,0,0.2109545,,0,0,40.6054,,0.8453112,100.5824,148.9281,,0,60,150,,5,5,5,,
0.2220554,0,0.2220555,,0,0,40.59999,,0.9614141,100.5748,148.9429,,0,60,150,,5,5,5,,
0.2332449,0,0.233245,,0,0,40.55517,,1.113034,100.526,148.9383,,0,60,150,,5,5,5,,
0.2443099,0,0.2443102,,0,0,40.4765,,1.256349,100.4433,148.9456,,0,60,150,,5,5,5,,
0.2555737,0,0.2555742,,0,0,40.34131,,1.391958,100.3042,148.9745,,0,60,150,,5,5,5,,
0.2664948,0,0.2664951,,0,0,40.15216,,1.530444,100.1111,149.0245,,0,60,150,,5,5,5,,
0.277595,0,0.2775955,,0,0,39.91909,,1.672769,99.87377,149.0954,,0,60,150,,5,5,5,,
0.2887535,0,0.2887536,,0,0,39.59373,,1.811064,99.54446,149.2131,,0,60,150,,5,5,5,,
0.2997599,0,0.2997601,,0,0,39.2161,,1.933529,99.16329,149.3672,,0,60,150,,5,5,5,,
0.3109584,0,0.3109587,,0,0,38.72026,,2.032275,98.66466,149.5848,,0,60,150,,5,5,5,,
0.3221836,0,0.322184,,0,0,38.15562,,2.120575,98.09621,149.8192,,0,60,150,,5,5,5,,
0.333169,0,0.3331692,,0,0,37.48527,,2.191937,97.42102,150.0906,,0,60,150,,5,5,5,,
0.3443174,0,0.3443176,,0,0,36.65019,,2.241992,96.579,150.4318,,0,60,150,,5,5,5,,
0.3554473,0,0.3554476,,0,0,35.74017,,2.256355,95.65858,150.8569,,0,60,150,,5,5,5,,
0.3665314,0,0.3665318,,0,0,34.7564,,2.25176,94.65794,151.3283,,0,60,150,,5,5,5,,
0.3775344,0,0.3775348,,0,0,33.71915,,2.249891,93.59598,151.797,,0,60,150,,5,5,5,,
0.3887491,0,0.3887496,,0,0,32.57377,,2.241547,92.41552,152.2935,,0,60,150,,5,5,5,,
0.3998957,0,0.399896,,0,0,31.39503,,2.265477,91.19074,152.7664,,0,60,150,,5,5,5,,
