Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01112747,0,0.01112705,,0,0,37.82743,,0.3521617,101.5863,152.2075,,0,100,190,,5,5,5,,
0.02232742,0,0.02232625,,0,0,37.71517,,0.388053,101.5582,152.319,,0,100,190,,5,5,5,,
0.03341293,0,0.03341283,,0,0,37.62145,,0.4407054,101.5256,152.4121,,0,100,190,,5,5,5,,
0.04444504,0,0.04444517,,0,0,37.55856,,0.4974342,101.5099,152.4751,,0,100,190,,5,5,5,,
0.05558014,0,0.05558014,,0,0,37.52482,,0.5679854,101.5049,152.5097,,0,100,190,,5,5,5,,
0.0667305,0,0.06673036,,0,0,37.47821,,0.6325305,101.4892,152.5567,,0,100,190,,5,5,5,,
0.07777214,0,0.0777709,,0,0,37.42636,,0.7070217,101.4774,152.6095,,0,100,190,,5,5,5,,
0.08903313,0,0.08903168,,0,0,37.37206,,0.7962071,101.4728,152.6655,,0,100,190,,5,5,5,,
0.1000004,0,0.09999891,,0,0,37.32008,,0.9027141,101.4698,152.7198,,0,100,190,,5,5,5,,
0.1111946,0,0.1111946,,0,0,37.2761,,1.021735,101.4692,152.7669,,0,100,190,,5,5,5,,
0.1221256,0,0.1221255,,0,0,37.23693,,1.125089,101.4653,152.8089,,0,100,190,,5,5,5,,
0.1334229,0,0.1334226,,0,0,37.19539,,1.218188,101.4627,152.8533,,0,100,190,,5,5,5,,
0.1446037,0,0.1446027,,0,0,37.10017,,1.217445,101.41,152.9466,,0,100,190,,5,5,5,,
0.1556606,0,0.1556597,,0,0,37.10479,,1.344945,101.4412,152.9476,,0,100,190,,5,5,5,,
0.1666889,0,0.1666891,,0,0,37.06384,,1.428254,101.4432,152.9918,,0,100,190,,5,5,5,,
0.177784,0,0.1777833,,0,0,37.03505,,1.532527,101.4579,153.0254,,0,100,190,,5,5,5,,
