Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01113319,0,0.0111335,,0,0,35.8969,,2.26721,100.1635,145.8249,,0,100,110,,5,5,5,,
0.02234268,0,0.02234296,,0,0,35.93705,,2.271925,100.1624,145.8648,,0,100,110,,5,5,5,,
0.03326225,0,0.03326297,,0,0,36.03041,,2.306247,100.1706,145.9561,,0,100,110,,5,5,5,,
0.0445137,0,0.04451436,,0,0,36.14337,,2.351535,100.2085,146.0662,,0,100,110,,5,5,5,,
0.05546379,0,0.05546429,,0,0,36.2936,,2.408063,100.2618,146.2127,,0,100,110,,5,5,5,,
0.0666008,0,0.0666016,,0,0,36.43594,,2.463743,100.321,146.3511,,0,100,110,,5,5,5,,
0.07771492,0,0.07771458,,0,0,36.57365,,2.527812,100.3836,146.4842,,0,100,110,,5,5,5,,
0.08888817,0,0.08888767,,0,0,36.71525,,2.594775,100.4486,146.6207,,0,100,110,,5,5,5,,
0.1000004,0,0.1000001,,0,0,36.86148,,2.65285,100.511,146.7623,,0,100,110,,5,5,5,,
0.1109848,0,0.1109852,,0,0,37.09877,,2.64994,100.6081,146.999,,0,100,110,,5,5,5,,
0.1222134,0,0.1222125,,0,0,37.20829,,2.728295,100.6587,147.1023,,0,100,110,,5,5,5,,
0.1333866,0,0.1333871,,0,0,37.35056,,2.812386,100.7028,147.2379,,0,100,110,,5,5,5,,
0.144453,0,0.1444537,,0,0,37.5014,,2.887264,100.7399,147.3828,,0,100,110,,5,5,5,,
0.1556358,0,0.1556356,,0,0,37.65051,,2.955511,100.77,147.5264,,0,100,110,,5,5,5,,
0.1665592,0,0.16656,,0,0,37.79914,,2.984748,100.8094,147.6724,,0,100,110,,5,5,5,,
0.1778374,0,0.1778381,,0,0,37.91143,,2.969712,100.8625,147.7851,,0,100,110,,5,5,5,,
0.1888733,0,0.1888725,,0,0,37.96902,,2.929718,100.9528,147.8438,,0,100,110,,5,5,5,,
0.199995,0,0.1999948,,0,0,37.99228,,2.883516,101.0863,147.8671,,0,100,110,,5,5,5,,
0.2111378,0,0.2111374,,0,0,37.9626,,2.833588,101.2933,147.8346,,0,100,110,,5,5,5,,
0.2222271,0,0.2222261,,0,0,37.92132,,2.804727,101.5526,147.7856,,0,100,110,,5,5,5,,
0.2332554,0,0.2332558,,0,0,37.8608,,2.796818,101.9121,147.7089,,0,100,110,,5,5,5,,
0.2444229,0,0.2444236,,0,0,37.79916,,2.791998,102.3273,147.624,,0,100,110,,5,5,5,,
0.2555618,0,0.2555609,,0,0,37.70928,,2.795277,102.8597,147.4966,,0,100,110,,5,5,5,,
0.2666779,0,0.2666768,,0,0,37.5979,,2.803653,103.4322,147.3358,,0,100,110,,5,5,5,,
0.277813,0,0.2778121,,0,0,37.4566,,2.802595,104.1056,147.1253,,0,100,110,,5,5,5,,
0.2890606,0,0.2890605,,0,0,37.30448,,2.766849,104.8336,146.8864,,0,100,110,,5,5,5,,
0.3003387,0,0.3003383,,0,0,37.1548,,2.69337,105.5823,146.6342,,0,100,110,,5,5,5,,
0.3113194,0,0.3113185,,0,0,36.97051,,2.567701,106.3952,146.3225,,0,100,110,,5,5,5,,
0.3223,0,0.3222992,,0,0,36.78222,,2.427666,107.2156,145.9857,,0,100,110,,5,5,5,,
0.3332901,0,0.3332902,,0,0,36.56823,,2.272852,108.071,145.5939,,0,100,110,,5,5,5,,
0.3443718,0,0.3443712,,0,0,36.3447,,2.147047,108.9284,145.1655,,0,100,110,,5,5,5,,
0.3555851,0,0.3555844,,0,0,36.1244,,2.047662,109.8029,144.7085,,0,100,110,,5,5,5,,
0.3666763,0,0.366676,,0,0,35.93784,,1.979768,110.6571,144.2642,,0,100,110,,5,5,5,,
0.3777599,0,0.3777602,,0,0,35.79416,,1.928302,111.5046,143.84,,0,100,110,,5,5,5,,
0.3888874,0,0.3888864,,0,0,35.70338,,1.875324,112.3448,143.4488,,0,100,110,,5,5,5,,
0.3999653,0,0.3999659,,0,0,35.6225,,1.821717,113.1483,143.057,,0,100,110,,5,5,5,,
0.4111519,0,0.4111511,,0,0,35.56078,,1.765749,113.8918,142.6875,,0,100,110,,5,5,5,,
0.4222622,0,0.4222625,,0,0,35.52601,,1.712948,114.5982,142.3428,,0,100,110,,5,5,5,,
0.4334202,0,0.4334207,,0,0,35.5279,,1.669312,115.2388,142.0503,,0,100,110,,5,5,5,,
0.4446716,0,0.4446724,,0,0,35.53215,,1.617738,115.8293,141.7703,,0,100,110,,5,5,5,,
0.4555626,0,0.4555631,,0,0,35.54292,,1.523751,116.3253,141.5351,,0,100,110,,5,5,5,,
0.4668255,0,0.4668259,,0,0,35.53635,,1.418437,116.7731,141.2967,,0,100,110,,5,5,5,,
0.477787,0,0.4777879,,0,0,35.50821,,1.303905,117.1231,141.0795,,0,100,110,,5,5,5,,
0.4890289,0,0.489029,,0,0,35.46763,,1.195132,117.4034,140.8812,,0,100,110,,5,5,5,,
0.500103,0,0.5001035,,0,0,35.41658,,1.106463,117.6544,140.6828,,0,100,110,,5,5,5,,
0.5112343,0,0.5112332,,0,0,35.36317,,1.056584,117.8359,140.5175,,0,100,110,,5,5,5,,
0.522356,0,0.5223565,,0,0,35.31733,,1.042029,117.9963,140.3704,,0,100,110,,5,5,5,,
0.5335312,0,0.5335313,,0,0,35.29034,,1.064092,118.0965,140.2786,,0,100,110,,5,5,5,,
0.5446148,0,0.5446147,,0,0,35.27859,,1.0992,118.0938,140.2652,,0,100,110,,5,5,5,,
0.5556126,0,0.5556127,,0,0,35.20805,,1.165047,118.1781,140.1298,,0,100,110,,5,5,5,,
0.5667877,0,0.5667884,,0,0,35.17161,,1.238375,118.1713,140.0884,,0,100,110,,5,5,5,,
0.577858,0,0.5778577,,0,0,35.14763,,1.327649,118.1241,140.0851,,0,100,110,,5,5,5,,
0.5889702,0,0.5889695,,0,0,35.12657,,1.42169,118.0519,140.0996,,0,100,110,,5,5,5,,
0.6001263,0,0.6001268,,0,0,35.08417,,1.521544,117.9582,140.1013,,0,100,110,,5,5,5,,
0.611145,0,0.6111451,,0,0,35.04065,,1.621092,117.823,140.1258,,0,100,110,,5,5,5,,
0.6224251,0,0.6224258,,0,0,34.98071,,1.702955,117.6723,140.1403,,0,100,110,,5,5,5,,
