Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01123428,0,0.01123143,,0,0,38.71105,,-0.3322554,96.49215,148.5504,,0,100,110,,5,5,5,,
0.02191544,0,0.02191449,,0,0,38.7062,,-0.3281416,96.48904,148.5452,,0,100,110,,5,5,5,,
0.03335571,0,0.03335647,,0,0,38.70462,,-0.3223824,96.49574,148.5443,,0,100,110,,5,5,5,,
0.04438019,0,0.04437881,,0,0,38.70124,,-0.319286,96.49352,148.5407,,0,100,110,,5,5,5,,
0.05527496,0,0.05527389,,0,0,38.69427,,-0.3189691,96.49409,148.5338,,0,100,110,,5,5,5,,
0.06674194,0,0.06673904,,0,0,38.68061,,-0.3142166,96.48648,148.5194,,0,100,110,,5,5,5,,
0.07774353,0,0.07774144,,0,0,38.65133,,-0.3062536,96.4855,148.49,,0,100,110,,5,5,5,,
0.08859634,0,0.08859546,,0,0,38.61293,,-0.2875634,96.48962,148.452,,0,100,110,,5,5,5,,
0.09994888,0,0.09994859,,0,0,38.54312,,-0.243183,96.50266,148.3833,,0,100,110,,5,5,5,,
0.1111526,0,0.1111525,,0,0,38.47576,,-0.1942688,96.5225,148.3178,,0,100,110,,5,5,5,,
0.1221619,0,0.1221598,,0,0,38.42276,,-0.1520312,96.54122,148.2665,,0,100,110,,5,5,5,,
0.1334152,0,0.1334144,,0,0,38.37514,,-0.1222104,96.56921,148.2213,,0,100,110,,5,5,5,,
0.1443672,0,0.144365,,0,0,38.33178,,-0.09605743,96.59744,148.1803,,0,100,110,,5,5,5,,
0.1552429,0,0.1552433,,0,0,38.2879,,-0.07125796,96.63453,148.1396,,0,100,110,,5,5,5,,
0.1667175,0,0.1667155,,0,0,38.24407,,-0.04286076,96.66917,148.0987,,0,100,110,,5,5,5,,
0.1776619,0,0.1776616,,0,0,38.20409,,-0.01168041,96.71127,148.0623,,0,100,110,,5,5,5,,
0.1886292,0,0.1886279,,0,0,38.24023,,-0.00345113,96.74113,148.1011,,0,100,110,,5,5,5,,
0.200058,0,0.2000585,,0,0,38.2019,,-0.00674964,96.76839,148.065,,0,100,110,,5,5,5,,
0.2111053,0,0.2111031,,0,0,38.12975,,0.03109709,96.81161,147.9962,,0,100,110,,5,5,5,,
0.221981,0,0.2219794,,0,0,38.04413,,0.08245771,96.87059,147.9151,,0,100,110,,5,5,5,,
0.2332191,0,0.2332167,,0,0,37.95326,,0.1098601,96.93529,147.8292,,0,100,110,,5,5,5,,
0.2444153,0,0.244413,,0,0,37.83456,,0.1379604,97.00146,147.7153,,0,100,110,,5,5,5,,
0.2551498,0,0.2551482,,0,0,37.68021,,0.1604961,97.07637,147.5663,,0,100,110,,5,5,5,,
0.2666588,0,0.2666565,,0,0,37.49073,,0.1891506,97.16769,147.3831,,0,100,110,,5,5,5,,
0.2779236,0,0.2779213,,0,0,37.22627,,0.233257,97.27963,147.126,,0,100,110,,5,5,5,,
0.288559,0,0.288558,,0,0,36.92051,,0.2869487,97.40435,146.828,,0,100,110,,5,5,5,,
0.2999954,0,0.2999959,,0,0,36.52324,,0.3497081,97.55833,146.4398,,0,100,110,,5,5,5,,
0.3110619,0,0.3110605,,0,0,36.06512,,0.3887514,97.73208,145.9916,,0,100,110,,5,5,5,,
0.3218498,0,0.3218476,,0,0,35.56107,,0.4179739,97.90727,145.497,,0,100,110,,5,5,5,,
0.3333511,0,0.3333497,,0,0,34.9556,,0.4398703,98.10145,144.9012,,0,100,110,,5,5,5,,
0.3445091,0,0.3445096,,0,0,34.31684,,0.4623005,98.31149,144.2722,,0,100,110,,5,5,5,,
0.3552666,0,0.3552648,,0,0,33.60514,,0.4869989,98.55038,143.5703,,0,100,110,,5,5,5,,
0.3666115,0,0.3666106,,0,0,32.87,,0.5143151,98.7953,142.8439,,0,100,110,,5,5,5,,
0.3778076,0,0.3778068,,0,0,32.06251,,0.5374309,99.05414,142.0441,,0,100,110,,5,5,5,,
0.3884926,0,0.3884916,,0,0,31.23841,,0.5545487,99.30706,141.2258,,0,100,110,,5,5,5,,
0.4000626,0,0.4000597,,0,0,30.34207,,0.5613465,99.5555,140.3336,,0,100,110,,5,5,5,,
0.4111633,0,0.4111639,,0,0,29.38242,,0.5767651,99.78996,139.376,,0,100,110,,5,5,5,,
0.4218254,0,0.4218246,,0,0,28.40432,,0.6006244,100.0183,138.398,,0,100,110,,5,5,5,,
0.4334183,0,0.4334165,,0,0,27.37702,,0.6246987,100.2316,137.3689,,0,100,110,,5,5,5,,
0.4444084,0,0.4444089,,0,0,26.33343,,0.6419833,100.4391,136.3219,,0,100,110,,5,5,5,,
0.4551811,0,0.4551785,,0,0,25.25129,,0.6594364,100.6243,135.235,,0,100,110,,5,5,5,,
0.4666481,0,0.4666463,,0,0,24.16269,,0.6907187,100.7909,134.1399,,0,100,110,,5,5,5,,
0.4778252,0,0.4778234,,0,0,23.04849,,0.7231204,100.9268,133.0185,,0,100,110,,5,5,5,,
0.4889603,0,0.4889601,,0,0,21.94705,,0.7481369,101.047,131.9093,,0,100,110,,5,5,5,,
0.4999466,0,0.4999453,,0,0,20.87609,,0.7813982,101.1657,130.8289,,0,100,110,,5,5,5,,
0.5110779,0,0.511077,,0,0,19.83281,,0.8240007,101.2751,129.7746,,0,100,110,,5,5,5,,
0.522274,0,0.5222726,,0,0,18.80538,,0.8760766,101.3882,128.7336,,0,100,110,,5,5,5,,
0.5334549,0,0.5334536,,0,0,17.81578,,0.9496478,101.4885,127.7281,,0,100,110,,5,5,5,,
0.5443916,0,0.5443909,,0,0,16.85102,,1.041401,101.5762,126.7448,,0,100,110,,5,5,5,,
0.555603,0,0.5556006,,0,0,15.92214,,1.131099,101.6597,125.795,,0,100,110,,5,5,5,,
0.5666084,0,0.5666057,,0,0,14.98436,,1.202232,101.7156,124.8372,,0,100,110,,5,5,5,,
0.5777817,0,0.5777791,,0,0,14.04693,,1.241869,101.7104,123.887,,0,100,110,,5,5,5,,
0.5888977,0,0.5888973,,0,0,13.1075,,1.245649,101.6684,122.9411,,0,100,110,,5,5,5,,
0.5999985,0,0.5999961,,0,0,12.17024,,1.230151,101.6013,122.0016,,0,100,110,,5,5,5,,
0.6111603,0,0.6111572,,0,0,11.2509,,1.173753,101.4865,121.0903,,0,100,110,,5,5,5,,
0.6223488,0,0.6223493,,0,0,10.34001,,1.110459,101.3637,120.1894,,0,100,110,,5,5,5,,
0.6333427,0,0.6333432,,0,0,9.459261,,1.018016,101.2243,119.3243,,0,100,110,,5,5,5,,
0.644455,0,0.6444521,,0,0,8.580217,,0.9236656,101.063,118.4639,,0,100,110,,5,5,5,,
0.6555748,0,0.6555732,,0,0,7.736017,,0.8330163,100.8772,117.6409,,0,100,110,,5,5,5,,
0.6667175,0,0.6667173,,0,0,6.933695,,0.7581725,100.6959,116.8569,,0,100,110,,5,5,5,,
0.6778831,0,0.6778827,,0,0,6.200292,,0.675555,100.5328,116.1403,,0,100,110,,5,5,5,,
0.6888847,0,0.6888816,,0,0,5.50252,,0.604287,100.3792,115.4561,,0,100,110,,5,5,5,,
0.7000046,0,0.7000052,,0,0,4.882155,,0.549125,100.2334,114.8456,,0,100,110,,5,5,5,,
0.7109947,0,0.7109923,,0,0,4.31741,,0.5011929,100.1038,114.287,,0,100,110,,5,5,5,,
0.7222672,0,0.7222648,,1,0.01127249,3.794046,,0.4678884,99.977,113.765,,0,100,110,,5,5,5,,
0.7332764,0,0.7332752,,1,0.02228281,3.383563,,0.4412929,99.87876,113.3525,,0,100,110,,5,5,5,,
0.7444687,0,0.7444693,,1,0.033477,3.009707,,0.4152344,99.7968,112.974,,0,100,110,,5,5,5,,
0.7555962,0,0.7555946,,1,0.04460227,2.713931,,0.3966428,99.73628,112.6718,,0,100,110,,5,5,5,,
0.7667198,0,0.7667173,,1,0.05572491,2.445361,,0.3771776,99.6795,112.3947,,0,100,110,,5,5,5,,
0.7778397,0,0.7778384,,1,0.06684608,2.251214,,0.3457387,99.64233,112.1956,,0,100,110,,5,5,5,,
0.7888947,0,0.7888916,,1,0.07789922,2.073006,,0.3039677,99.60316,112.0118,,0,100,110,,5,5,5,,
0.8000221,0,0.8000221,,1,0.08902977,1.943073,,0.2635247,99.56371,111.875,,0,100,110,,5,5,5,,
0.8110504,0,0.8110486,,1,0.1000562,1.82759,,0.2305916,99.53461,111.7522,,0,100,110,,5,5,5,,
0.8223114,0,0.8223116,,1,0.1113193,1.715888,,0.2087404,99.51018,111.6312,,0,100,110,,5,5,5,,
0.8334007,0,0.8333988,,1,0.1224065,1.628259,,0.1924133,99.50368,111.5388,,0,100,110,,5,5,5,,
0.8445358,0,0.8445358,,1,0.1335435,1.626793,,0.1870409,99.51977,111.543,,0,100,110,,5,5,5,,
0.8556099,0,0.8556095,,1,0.1446172,1.478987,,0.1764267,99.49072,111.3773,,0,100,110,,5,5,5,,
0.8666611,0,0.8666611,,1,0.1556688,1.402915,,0.1807507,99.49571,111.2966,,0,100,110,,5,5,5,,
0.8778114,0,0.8778093,,1,0.166817,1.310864,,0.1804979,99.50317,111.1996,,0,100,110,,5,5,5,,
0.8888435,0,0.8888431,,1,0.1778508,1.210336,,0.174534,99.48252,111.0801,,0,100,110,,5,5,5,,
0.8999825,0,0.8999816,,1,0.1889892,1.103217,,0.1626547,99.46024,110.9483,,0,100,110,,5,5,5,,
0.9111481,0,0.9111456,,1,0.2001532,0.9970464,,0.1642274,99.43192,110.8028,,0,100,110,,5,5,5,,
0.9222221,0,0.9222216,,1,0.2112292,0.9089547,,0.1696133,99.39799,110.6596,,0,100,110,,5,5,5,,
0.9333878,0,0.9333876,,1,0.2223953,0.8509728,,0.1636032,99.36092,110.5376,,0,100,110,,5,5,5,,
0.9443817,0,0.9443798,,1,0.2333874,0.7980785,,0.1588256,99.34589,110.4288,,0,100,110,,5,5,5,,
0.9555855,0,0.9555857,,1,0.2445933,0.7434308,,0.1582984,99.35474,110.3336,,0,100,110,,5,5,5,,
0.9666786,0,0.9666781,,1,0.2556857,0.7100785,,0.1719772,99.35541,110.2432,,0,100,110,,5,5,5,,
0.977787,0,0.9777855,,1,0.2667931,0.6853822,,0.1861698,99.36461,110.1771,,0,100,110,,5,5,5,,
0.9889832,0,0.9889832,,1,0.2779908,0.6595182,,0.1876235,99.38021,110.125,,0,100,110,,5,5,5,,
0.9999008,0,0.9999012,,1,0.2889088,0.6406281,,0.1690355,99.40194,110.1554,,0,100,110,,5,5,5,,
1.011185,0,1.011184,,1,0.3001921,0.6185304,,0.1631261,99.41413,110.1128,,0,100,110,,5,5,5,,
1.022217,0,1.022217,,1,0.3112248,0.5970246,,0.1574687,99.43022,110.0836,,0,100,110,,5,5,5,,
1.033424,0,1.033424,,1,0.3224313,0.5484106,,0.1451601,99.47851,110.0879,,0,100,110,,5,5,5,,
1.044472,0,1.04447,,1,0.3334776,0.5192323,,0.1352849,99.51756,110.1362,,0,100,110,,5,5,5,,
1.055622,0,1.055622,,1,0.3446299,0.5142595,,0.1561366,99.54221,110.1747,,0,100,110,,5,5,5,,
1.066658,0,1.066656,,1,0.3556637,0.5251044,,0.1732445,99.53574,110.1737,,0,100,110,,5,5,5,,
1.977829,1,0.01112234,,0,0,39.73169,,0.2940612,98.94941,149.7167,,0,100,110,,5,5,5,,
1.988949,1,0.02224322,,0,0,39.78123,,0.2766439,98.94125,149.7662,,0,100,110,,5,5,5,,
1.999954,1,0.03325061,,0,0,39.82196,,0.2961055,98.93237,149.8065,,0,100,110,,5,5,5,,
2.011131,1,0.0444275,,0,0,39.84346,,0.3433871,98.96078,149.8284,,0,100,110,,5,5,5,,
2.02232,1,0.05561435,,0,0,39.91171,,0.4220499,98.97749,149.8964,,0,100,110,,5,5,5,,
2.033417,1,0.06671089,,0,0,39.99138,,0.5016093,98.99807,149.9757,,0,100,110,,5,5,5,,
2.044491,1,0.07778719,,0,0,40.13255,,0.5563822,99.00345,150.1163,,0,100,110,,5,5,5,,
2.055569,1,0.0888629,,0,0,40.36341,,0.5680327,98.998,150.347,,0,100,110,,5,5,5,,
2.066715,1,0.1000116,,0,0,40.62214,,0.5567053,98.98809,150.6057,,0,100,110,,5,5,5,,
2.077713,1,0.1110085,,0,0,40.94507,,0.5154161,98.95889,150.9286,,0,100,110,,5,5,5,,
2.088959,1,0.1222519,,0,0,41.42181,,0.4325226,98.90681,151.4051,,0,100,110,,5,5,5,,
2.100033,1,0.1333291,,0,0,41.72505,,0.4158345,98.84421,151.707,,0,100,110,,5,5,5,,
2.111172,1,0.1444652,,0,0,42.12865,,0.4318583,98.78465,152.1089,,0,100,110,,5,5,5,,
2.122395,1,0.1556896,,0,0,42.59788,,0.4258773,98.71623,152.5764,,0,100,110,,5,5,5,,
2.133305,1,0.1666008,,0,0,43.13107,,0.4319717,98.66415,153.1082,,0,100,110,,5,5,5,,
