Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01099396,0,0.01099243,,0,0,38.71494,,-0.4558916,98.43972,145.4145,,0,60,150,,5,5,5,,
0.02217102,0,0.02217224,,0,0,38.68638,,-0.4687475,98.41438,145.4447,,0,60,150,,5,5,5,,
0.03334427,0,0.03334472,,0,0,38.64738,,-0.4636131,98.38439,145.523,,0,60,150,,5,5,5,,
0.04442215,0,0.04442072,,0,0,38.62142,,-0.4708329,98.36906,145.6173,,0,60,150,,5,5,5,,
0.05547333,0,0.05547385,,0,0,38.61826,,-0.4697022,98.3772,145.7175,,0,60,150,,5,5,5,,
0.06656265,0,0.06656335,,0,0,38.61245,,-0.4453668,98.38222,145.8133,,0,60,150,,5,5,5,,
0.07783508,0,0.07783612,,0,0,38.61663,,-0.4127261,98.39968,145.9333,,0,60,150,,5,5,5,,
0.08886337,0,0.08886256,,0,0,38.63083,,-0.4023139,98.42683,146.0556,,0,60,150,,5,5,5,,
0.09997559,0,0.09997727,,0,0,38.60857,,-0.448374,98.42205,146.2361,,0,60,150,,5,5,5,,
0.1110649,0,0.1110632,,0,0,38.64293,,-0.5153442,98.47129,146.3986,,0,60,150,,5,5,5,,
0.1221809,0,0.1221818,,0,0,38.68285,,-0.5395785,98.51673,146.4598,,0,60,150,,5,5,5,,
0.1333237,0,0.1333226,,0,0,38.70111,,-0.5083594,98.54227,146.5344,,0,60,150,,5,5,5,,
0.1443176,0,0.1443176,,0,0,38.76703,,-0.5060377,98.61887,146.6519,,0,60,150,,5,5,5,,
0.155529,0,0.1555309,,0,0,38.86315,,-0.5091783,98.7273,146.7936,,0,60,150,,5,5,5,,
0.166851,0,0.1668503,,0,0,38.9637,,-0.4880455,98.83807,146.9119,,0,60,150,,5,5,5,,
0.1778755,0,0.1778744,,0,0,39.09027,,-0.39572,98.97447,147.0196,,0,60,150,,5,5,5,,
0.1889801,0,0.1889806,,0,0,39.23701,,-0.2918652,99.1338,147.1709,,0,60,150,,5,5,5,,
0.1999359,0,0.1999364,,0,0,39.4063,,-0.1944478,99.32066,147.4107,,0,60,150,,5,5,5,,
0.2111626,0,0.2111607,,0,0,39.55899,,-0.06919578,99.49139,147.6894,,0,60,150,,5,5,5,,
0.2220802,0,0.2220807,,0,0,39.66959,,0.08183592,99.61995,148.0177,,0,60,150,,5,5,5,,
0.2332764,0,0.2332767,,0,0,39.69458,,0.1785718,99.66047,148.3645,,0,60,150,,5,5,5,,
0.2443161,0,0.2443148,,0,0,39.65058,,0.2137669,99.62988,148.7371,,0,60,150,,5,5,5,,
0.2554626,0,0.2554621,,0,0,39.48969,,0.2083153,99.4806,149.1787,,0,60,150,,5,5,5,,
0.2666435,0,0.2666446,,0,0,39.24612,,0.2013079,99.24404,149.6498,,0,60,150,,5,5,5,,
0.277729,0,0.2777306,,0,0,38.79981,,0.1684418,98.7991,150.1656,,0,60,150,,5,5,5,,
0.2888527,0,0.2888541,,0,0,38.2037,,0.151439,98.1967,150.7154,,0,60,150,,5,5,5,,
0.3000031,0,0.3000013,,0,0,37.30608,,0.1412555,97.28117,151.3559,,0,60,150,,5,5,5,,
0.3110809,0,0.3110791,,0,0,36.24158,,0.08691089,96.18353,152.0486,,0,60,150,,5,5,5,,
0.3221626,0,0.3221613,,0,0,34.84965,,-0.1004359,94.73536,152.8183,,0,60,150,,5,5,5,,
0.3333473,0,0.3333472,,0,0,33.23988,,-0.4279615,93.04427,153.5753,,0,60,150,,5,5,5,,
0.3443451,0,0.3443449,,0,0,31.52521,,-0.7948341,91.22207,154.2883,,0,60,150,,5,5,5,,
0.3555183,0,0.3555183,,0,0,29.59136,,-1.202807,89.14445,154.9803,,0,60,150,,5,5,5,,
0.3666916,0,0.3666931,,0,0,27.63445,,-1.550973,86.99635,155.6969,,0,60,150,,5,5,5,,
0.3779793,0,0.3779803,,0,0,25.61744,,-1.83918,84.71575,156.4809,,0,60,150,,5,5,5,,
0.3890038,0,0.3890023,,0,0,23.71082,,-2.094466,82.45728,157.3135,,0,60,150,,5,5,5,,
0.3998718,0,0.3998719,,0,0,21.9267,,-2.384509,80.17575,158.2482,,0,60,150,,5,5,5,,
0.4109612,0,0.4109617,,0,0,20.36597,,-2.706637,77.95058,159.2317,,0,60,150,,5,5,5,,
0.4221268,0,0.4221268,,0,0,19.05462,,-3.043504,75.75219,160.2803,,0,60,150,,5,5,5,,
0.4332047,0,0.4332037,,0,0,17.95112,,-3.355876,73.53088,161.3091,,0,60,150,,5,5,5,,
