Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01079178,0,0.01079126,,0,0,38.225,,2.61947,98.28738,151.9033,,0,100,190,,5,5,5,,
0.02223587,0,0.02223675,,0,0,38.18396,,2.571448,98.18498,151.946,,0,100,190,,5,5,5,,
0.0332756,0,0.0332761,,0,0,38.17525,,2.505878,98.14141,151.9525,,0,100,190,,5,5,5,,
0.04416656,0,0.04416618,,0,0,38.18724,,2.46282,98.12708,151.9383,,0,100,190,,5,5,5,,
0.05551147,0,0.05551139,,0,0,38.18723,,2.406402,98.09191,151.9365,,0,100,190,,5,5,5,,
0.0666008,0,0.06660205,,0,0,38.17941,,2.366103,98.05801,151.9435,,0,100,190,,5,5,5,,
0.07771683,0,0.07771559,,0,0,38.17496,,2.356013,98.05013,151.9477,,0,100,190,,5,5,5,,
0.08888245,0,0.08888338,,0,0,38.20443,,2.318722,98.0547,151.9156,,0,100,190,,5,5,5,,
0.1001015,0,0.1001016,,0,0,38.24734,,2.293725,98.07203,151.8702,,0,100,190,,5,5,5,,
0.1106949,0,0.1106964,,0,0,38.20843,,2.248566,98.04439,151.908,,0,100,190,,5,5,5,,
0.122261,0,0.1222624,,0,0,38.29159,,2.149265,98.07249,151.8174,,0,100,190,,5,5,5,,
0.133316,0,0.1333179,,0,0,38.42314,,2.058561,98.09965,151.6791,,0,100,190,,5,5,5,,
0.1441612,0,0.1441602,,0,0,38.51163,,2.012596,98.10845,151.5875,,0,100,190,,5,5,5,,
0.1555595,0,0.155559,,0,0,38.55526,,1.935839,98.12519,151.539,,0,100,190,,5,5,5,,
0.1666412,0,0.1666415,,0,0,38.54978,,1.847943,98.16146,151.5385,,0,100,190,,5,5,5,,
0.177433,0,0.1774345,,0,0,38.45086,,1.840068,98.15894,151.6373,,0,100,190,,5,5,5,,
0.1887779,0,0.1887788,,0,0,38.40499,,1.759601,98.26843,151.6744,,0,100,190,,5,5,5,,
0.2000542,0,0.2000548,,0,0,38.30456,,1.731343,98.30379,151.7722,,0,100,190,,5,5,5,,
0.2108574,0,0.2108572,,0,0,38.13985,,1.677726,98.29335,151.9353,,0,100,190,,5,5,5,,
0.2221756,0,0.2221752,,0,0,37.96004,,1.595495,98.25878,152.1135,,0,100,190,,5,5,5,,
0.2334213,0,0.2334207,,0,0,37.75886,,1.498051,98.18383,152.3146,,0,100,190,,5,5,5,,
0.2441521,0,0.2441509,,0,0,37.54329,,1.402247,98.08349,152.5319,,0,100,190,,5,5,5,,
0.255661,0,0.2556612,,0,0,37.24636,,1.260192,97.92235,152.833,,0,100,190,,5,5,5,,
0.2666473,0,0.2666469,,0,0,36.89376,,1.090609,97.74345,153.1915,,0,100,190,,5,5,5,,
0.2774162,0,0.2774168,,0,0,36.49543,,0.9268737,97.56396,153.5978,,0,100,190,,5,5,5,,
0.2888184,0,0.2888171,,0,0,35.93979,,0.7547294,97.35101,154.1659,,0,100,190,,5,5,5,,
0.2999458,0,0.299945,,0,0,35.2818,,0.5983403,97.14053,154.8394,,0,100,190,,5,5,5,,
0.3107338,0,0.3107351,,0,0,34.47513,,0.4827624,96.9215,155.666,,0,100,190,,5,5,5,,
0.3220215,0,0.3220228,,0,0,33.65749,,0.3933758,96.70927,156.5061,,0,100,190,,5,5,5,,
0.3333435,0,0.3333422,,0,0,32.7357,,0.2940571,96.47261,157.4562,,0,100,190,,5,5,5,,
0.3442421,0,0.3442417,,0,0,31.78232,,0.1758579,96.23011,158.4426,,0,100,190,,5,5,5,,
0.3554916,0,0.3554922,,0,0,30.75872,,0.04828702,95.95844,159.508,,0,100,190,,5,5,5,,
0.3665161,0,0.3665169,,0,0,29.74686,,-0.1018394,95.66068,160.5715,,0,100,190,,5,5,5,,
0.3773193,0,0.3773198,,0,0,28.75021,,-0.3041818,95.33401,161.6326,,0,100,190,,5,5,5,,
0.3887749,0,0.3887736,,0,0,27.78646,,-0.5604767,94.9806,162.6764,,0,100,190,,5,5,5,,
0.3997879,0,0.3997865,,0,0,26.85814,,-0.7864721,94.64692,163.6925,,0,100,190,,5,5,5,,
0.4106865,0,0.4106848,,0,0,25.94656,,-0.9787652,94.32327,164.701,,0,100,190,,5,5,5,,
0.4221115,0,0.4221124,,0,0,25.06246,,-1.122101,94.03986,165.6824,,0,100,190,,5,5,5,,
0.4332848,0,0.4332834,,0,0,24.19016,,-1.230444,93.79288,166.6522,,0,100,190,,5,5,5,,
0.4440994,0,0.444099,,0,0,23.34096,,-1.325864,93.56964,167.6015,,0,100,190,,5,5,5,,
0.4553642,0,0.4553636,,0,0,22.5348,,-1.445376,93.34769,168.518,,0,100,190,,5,5,5,,
0.4666176,0,0.466617,,0,0,21.78563,,-1.595624,93.12867,169.388,,0,100,190,,5,5,5,,
0.4772758,0,0.4772763,,0,0,21.09956,,-1.72042,92.92856,170.1953,,0,100,190,,5,5,5,,
0.4887314,0,0.488732,,0,0,20.49466,,-1.838554,92.74949,170.9191,,0,100,190,,5,5,5,,
0.5000458,0,0.5000464,,0,0,19.90217,,-1.950008,92.59831,171.6286,,0,100,190,,5,5,5,,
0.5106316,0,0.5106301,,0,0,19.34574,,-2.069573,92.4693,172.3008,,0,100,190,,5,5,5,,
0.5220871,0,0.5220888,,0,0,18.82343,,-2.188253,92.36344,172.935,,0,100,190,,5,5,5,,
0.5332146,0,0.5332146,,0,0,18.33546,,-2.297439,92.30122,173.5185,,0,100,190,,5,5,5,,
0.5440178,0,0.5440194,,0,0,17.84243,,-2.389157,92.25577,174.1044,,0,100,190,,5,5,5,,
0.5553246,0,0.5553262,,0,0,17.3249,,-2.440193,92.25794,174.6945,,0,100,190,,5,5,5,,
0.5664825,0,0.5664816,,0,0,16.80718,,-2.478596,92.28355,175.2761,,0,100,190,,5,5,5,,
0.5773621,0,0.5773636,,0,0,16.33758,,-2.489594,92.33656,175.7877,,0,100,190,,5,5,5,,
0.5887413,0,0.5887398,,0,0,15.90785,,-2.475662,92.41127,176.2398,,0,100,190,,5,5,5,,
0.5998268,0,0.5998278,,0,0,15.47675,,-2.472703,92.49088,176.6948,,0,100,190,,5,5,5,,
0.6106377,0,0.6106364,,0,0,15.05927,,-2.474289,92.58471,177.1286,,0,100,190,,5,5,5,,
0.622097,0,0.622096,,0,0,14.62864,,-2.46918,92.68704,177.5734,,0,100,190,,5,5,5,,
0.633091,0,0.6330908,,0,0,14.18613,,-2.45142,92.80862,178.02,,0,100,190,,5,5,5,,
0.6439819,0,0.6439806,,0,0,13.74713,,-2.445776,92.93165,178.4657,,0,100,190,,5,5,5,,
0.6553726,0,0.6553736,,0,0,13.30077,,-2.462195,93.06576,178.9201,,0,100,190,,5,5,5,,
0.6663857,0,0.6663865,,0,0,12.83453,,-2.512752,93.19955,179.4092,,0,100,190,,5,5,5,,
0.6774101,0,0.6774115,,0,0,12.34027,,-2.537514,93.3505,179.919,,0,100,190,,5,5,5,,
0.6886635,0,0.6886623,,0,0,11.79226,,-2.515872,93.52489,180.4711,,0,100,190,,5,5,5,,
0.6999321,0,0.699933,,0,0,11.25166,,-2.479841,93.71206,181.0049,,0,100,190,,5,5,5,,
0.7106209,0,0.7106228,,0,0,10.73766,,-2.439594,93.89995,181.5068,,0,100,190,,5,5,5,,
0.7220459,0,0.7220457,,0,0,10.23824,,-2.446165,94.07118,182.0196,,0,100,190,,5,5,5,,
0.7331505,0,0.7331508,,0,0,9.722883,,-2.486578,94.25793,182.5582,,0,100,190,,5,5,5,,
