Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01143265,0,0.01143259,,0,0,38.22316,,1.818232,99.21898,148.4024,,40,100,150,,5,5,5,,
0.02253532,0,0.02253557,,0,0,38.29292,,1.747137,99.16888,148.4588,,40,100,150,,5,5,5,,
0.03367233,0,0.03367287,,0,0,38.36578,,1.674332,99.11152,148.4878,,40,100,150,,5,5,5,,
0.04490852,0,0.0449081,,0,0,38.46401,,1.577412,99.05169,148.4882,,40,100,150,,5,5,5,,
0.05602264,0,0.05602311,,0,0,38.57712,,1.466555,98.98685,148.4699,,40,100,150,,5,5,5,,
0.06705093,0,0.0670516,,0,0,38.71555,,1.331954,98.91206,148.4213,,40,100,150,,5,5,5,,
0.07834625,0,0.07834696,,0,0,38.85843,,1.192821,98.84416,148.3739,,40,100,150,,5,5,5,,
0.08942795,0,0.08942913,,0,0,39.02094,,1.034204,98.77969,148.3234,,40,100,150,,5,5,5,,
0.1004543,0,0.1004541,,0,0,39.17921,,0.8796301,98.71783,148.2785,,40,100,150,,5,5,5,,
0.1114902,0,0.1114902,,0,0,39.37133,,0.6889893,98.63983,148.2984,,40,100,150,,5,5,5,,
0.1226921,0,0.122692,,0,0,39.55083,,0.5131675,98.59109,148.2469,,40,100,150,,5,5,5,,
0.1338234,0,0.133824,,0,0,39.74599,,0.3221621,98.54631,148.1834,,40,100,150,,5,5,5,,
0.1447754,0,0.1447757,,0,0,39.88629,,0.1855533,98.51025,148.1274,,40,100,150,,5,5,5,,
0.1559906,0,0.1559907,,0,0,40.01907,,0.05541006,98.47977,148.091,,40,100,150,,5,5,5,,
0.1669388,0,0.16694,,0,0,40.15132,,-0.07601904,98.47747,148.0704,,40,100,150,,5,5,5,,
0.1780529,0,0.1780524,,0,0,40.24557,,-0.1686651,98.47543,148.0354,,40,100,150,,5,5,5,,
0.1891651,0,0.1891659,,0,0,40.22223,,-0.1443853,98.48323,148.0113,,40,100,150,,5,5,5,,
0.2003632,0,0.2003633,,0,0,40.18609,,-0.1082174,98.49509,148.003,,40,100,150,,5,5,5,,
0.2113724,0,0.2113733,,0,0,40.12434,,-0.04514853,98.52213,147.9593,,40,100,150,,5,5,5,,
0.2225266,0,0.2225265,,0,0,39.88099,,0.1976686,98.5927,147.9294,,40,100,150,,5,5,5,,
0.2336731,0,0.233674,,0,0,39.57906,,0.495314,98.65606,147.9813,,40,100,150,,5,5,5,,
0.2447205,0,0.244721,,0,0,39.10873,,0.9574395,98.73702,148.1089,,40,100,150,,5,5,5,,
0.255825,0,0.2558255,,0,0,38.52337,,1.534568,98.80874,148.256,,40,100,150,,5,5,5,,
0.2671032,0,0.2671038,,0,0,37.7253,,2.323871,98.86178,148.4469,,40,100,150,,5,5,5,,
0.2780972,0,0.2780971,,0,0,36.83946,,3.201986,98.90751,148.6369,,40,100,150,,5,5,5,,
0.2891655,0,0.2891661,,0,0,35.75218,,4.280076,98.98336,148.8723,,40,100,150,,5,5,5,,
0.3003788,0,0.3003799,,0,0,34.52204,,5.499016,99.10685,149.1903,,40,100,150,,5,5,5,,
0.311451,0,0.3114518,,0,0,33.19675,,6.813873,99.26397,149.5961,,40,100,150,,5,5,5,,
0.3224792,0,0.3224788,,0,0,31.61468,,8.389929,99.47641,150.1316,,40,100,150,,5,5,5,,
0.333746,0,0.3337463,,0,0,29.94594,,10.06374,99.69174,150.6963,,40,100,150,,5,5,5,,
0.3447132,0,0.3447144,,0,0,28.0846,,11.94622,99.9333,151.3136,,40,100,150,,5,5,5,,
0.3558426,0,0.3558423,,0,0,26.18719,,13.88442,100.1627,151.9284,,40,100,150,,5,5,5,,
0.3669949,0,0.3669952,,0,0,24.14787,,15.99195,100.391,152.5653,,40,100,150,,5,5,5,,
0.3780937,0,0.3780943,,0,0,22.12937,,18.10536,100.6144,153.1553,,40,100,150,,5,5,5,,
0.3892555,0,0.3892554,,0,0,20.07659,,20.27887,100.8419,153.6657,,40,100,150,,5,5,5,,
0.4002819,0,0.4002827,,0,0,18.07797,,22.43315,101.072,154.1315,,40,100,150,,5,5,5,,
0.4114761,0,0.411476,,0,0,16.09452,,24.62205,101.3131,154.5638,,40,100,150,,5,5,5,,
0.4226398,0,0.4226397,,0,0,14.18963,,26.7937,101.5675,154.948,,40,100,150,,5,5,5,,
0.4336891,0,0.4336905,,0,0,12.42277,,28.91637,101.8308,155.3035,,40,100,150,,5,5,5,,
0.4448414,0,0.4448422,,0,0,10.84406,,30.96395,102.1032,155.6143,,40,100,150,,5,5,5,,
0.4558392,0,0.4558387,,0,0,9.552013,,32.85614,102.3227,155.9001,,40,100,150,,5,5,5,,
