Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01095963,0,0.01095929,,0,0,41.86674,,0.8954187,98.19789,147.8539,,0,140,150,,5,5,5,,
0.02209854,0,0.02209717,,0,0,41.90571,,0.8622327,98.15581,147.9002,,0,140,150,,5,5,5,,
0.03308296,0,0.03308168,,0,0,41.93893,,0.8514495,98.11945,147.9584,,0,140,150,,5,5,5,,
0.04416084,0,0.04416002,,0,0,41.95869,,0.8594765,98.09595,148.0395,,0,140,150,,5,5,5,,
0.05528069,0,0.05527884,,0,0,41.95968,,0.8601296,98.09193,148.1056,,0,140,150,,5,5,5,,
0.06646919,0,0.06646833,,0,0,41.95914,,0.8614746,98.08916,148.1811,,0,140,150,,5,5,5,,
0.07754517,0,0.07754345,,0,0,41.96305,,0.8612243,98.08257,148.2437,,0,140,150,,5,5,5,,
0.0887413,0,0.08874056,,0,0,41.96436,,0.836305,98.07742,148.3251,,0,140,150,,5,5,5,,
0.09981537,0,0.09981363,,0,0,41.9802,,0.7882326,98.05547,148.46,,0,140,150,,5,5,5,,
0.1108685,0,0.1108674,,0,0,41.97636,,0.6804069,98.05218,148.61,,0,140,150,,5,5,5,,
0.1221027,0,0.122102,,0,0,41.92921,,0.6234042,98.09891,148.5969,,0,140,150,,5,5,5,,
0.1330891,0,0.1330877,,0,0,41.89206,,0.5977347,98.13513,148.6145,,0,140,150,,5,5,5,,
0.1443024,0,0.1443006,,0,0,41.8204,,0.6192441,98.20661,148.6306,,0,140,150,,5,5,5,,
0.1554852,0,0.1554837,,0,0,41.72088,,0.6090099,98.305,148.6629,,0,140,150,,5,5,5,,
0.1665192,0,0.1665189,,0,0,41.57834,,0.5967388,98.44818,148.6402,,0,140,150,,5,5,5,,
0.1776733,0,0.1776726,,0,0,41.38532,,0.5564442,98.6422,148.5972,,0,140,150,,5,5,5,,
0.1886902,0,0.1886897,,0,0,41.05089,,0.4613785,98.9784,148.5198,,0,140,150,,5,5,5,,
0.1998711,0,0.1998704,,0,0,40.62054,,0.3458428,99.4113,148.4295,,0,140,150,,5,5,5,,
0.2108669,0,0.210866,,0,0,39.98442,,0.2167065,100.052,148.3066,,0,140,150,,5,5,5,,
0.2221069,0,0.2221054,,0,0,39.13092,,0.1047407,100.9137,148.1359,,0,140,150,,5,5,5,,
0.2331734,0,0.2331726,,0,0,38.12668,,0.02473275,101.9299,147.9234,,0,140,150,,5,5,5,,
0.244339,0,0.2443389,,0,0,36.84442,,-0.0337664,103.23,147.6593,,0,140,150,,5,5,5,,
0.255434,0,0.2554322,,0,0,35.45676,,-0.07325152,104.6393,147.3927,,0,140,150,,5,5,5,,
0.2664967,0,0.2664962,,0,0,33.84224,,-0.1121169,106.2849,147.0719,,0,140,150,,5,5,5,,
0.2777252,0,0.2777235,,0,0,32.18132,,-0.1653239,107.9853,146.7337,,0,140,150,,5,5,5,,
0.2887955,0,0.2887942,,0,0,30.36327,,-0.2431686,109.8555,146.3696,,0,140,150,,5,5,5,,
0.2998734,0,0.2998723,,0,0,28.54611,,-0.3368735,111.7366,146.0066,,0,140,150,,5,5,5,,
0.3109608,0,0.3109597,,0,0,26.64254,,-0.3966675,113.7261,145.6013,,0,140,150,,5,5,5,,
0.3221455,0,0.3221454,,0,0,24.75023,,-0.363833,115.7328,145.1478,,0,140,150,,5,5,5,,
0.3331909,0,0.33319,,0,0,22.91543,,-0.2872834,117.7162,144.6647,,0,140,150,,5,5,5,,
0.3441525,0,0.3441511,,0,0,21.15752,,-0.2028758,119.6741,144.1299,,0,140,150,,5,5,5,,
0.3553734,0,0.3553725,,0,0,19.54679,,-0.1742953,121.5403,143.5747,,0,140,150,,5,5,5,,
0.3665333,0,0.366533,,0,0,18.23088,,-0.2084608,123.1564,143.0276,,0,140,150,,5,5,5,,
0.3776627,0,0.3776618,,0,0,16.87407,,-0.2504752,124.8887,142.4953,,0,140,150,,5,5,5,,
0.3887291,0,0.3887284,,0,0,15.60964,,-0.2842863,126.5753,142.0402,,0,140,150,,5,5,5,,
0.3997612,0,0.3997598,,0,0,14.45494,,-0.2783588,128.2142,141.6357,,0,140,150,,5,5,5,,
0.4109573,0,0.4109561,,0,0,13.45044,,-0.2415543,129.7418,141.3037,,0,140,150,,5,5,5,,
0.4220829,0,0.422081,,0,0,12.64909,,-0.1860017,131.1279,140.9861,,0,140,150,,5,5,5,,
0.4331932,0,0.4331931,,0,0,12.02242,,-0.09179988,132.4201,140.6686,,0,140,150,,5,5,5,,
0.4442673,0,0.4442659,,0,0,11.56129,,0.04856085,133.544,140.4093,,0,140,150,,5,5,5,,
0.455534,0,0.4555328,,0,0,11.17847,,0.1599668,134.6502,140.1861,,0,140,150,,5,5,5,,
0.4665318,0,0.4665314,,0,0,10.93675,,0.2604838,135.4944,140.0378,,0,140,150,,5,5,5,,
0.4775391,0,0.477539,,0,0,10.82351,,0.3404367,136.2866,139.8391,,0,140,150,,5,5,5,,
0.4887829,0,0.4887813,,0,0,10.81894,,0.3721979,136.8944,139.6431,,0,140,150,,5,5,5,,
0.4998131,0,0.4998113,,0,0,10.81837,,0.3737469,137.4703,139.4882,,0,140,150,,5,5,5,,
0.5109558,0,0.5109544,,0,0,10.83814,,0.3558694,137.9243,139.3684,,0,140,150,,5,5,5,,
0.5222168,0,0.5222164,,0,0,10.86517,,0.360688,138.3135,139.2726,,0,140,150,,5,5,5,,
0.5331116,0,0.5331112,,0,0,10.8922,,0.3748803,138.6774,139.1949,,0,140,150,,5,5,5,,
0.5443726,0,0.5443713,,0,0,10.8988,,0.3999444,138.9555,139.1587,,0,140,150,,5,5,5,,
0.5554409,0,0.5554399,,0,0,10.91454,,0.4229775,139.207,139.1225,,0,140,150,,5,5,5,,
0.5666275,0,0.5666271,,0,0,10.91113,,0.4228677,139.3844,139.1145,,0,140,150,,5,5,5,,
0.5776291,0,0.577628,,0,0,10.88748,,0.4156467,139.5432,139.1301,,0,140,150,,5,5,5,,
0.5886993,0,0.5886984,,0,0,10.84117,,0.3829522,139.6425,139.1715,,0,140,150,,5,5,5,,
0.5999165,0,0.5999164,,0,0,10.77195,,0.3444703,139.7164,139.2373,,0,140,150,,5,5,5,,
0.6108875,0,0.6108874,,0,0,10.67327,,0.303095,139.7242,139.3346,,0,140,150,,5,5,5,,
0.6220131,0,0.6220112,,0,0,10.54527,,0.2659422,139.7186,139.4618,,0,140,150,,5,5,5,,
0.6331654,0,0.6331652,,0,0,10.40633,,0.2389031,139.7104,139.6004,,0,140,150,,5,5,5,,
0.6443157,0,0.6443148,,0,0,10.26186,,0.2267973,139.6606,139.7463,,0,140,150,,5,5,5,,
0.6553478,0,0.6553459,,0,0,10.10011,,0.2204363,139.6138,139.9097,,0,140,150,,5,5,5,,
0.6665001,0,0.6664985,,0,0,9.880992,,0.2090497,139.5742,140.1304,,0,140,150,,5,5,5,,
0.6775875,0,0.6775868,,0,0,9.63339,,0.2052177,139.5496,140.3793,,0,140,150,,5,5,5,,
0.6886559,0,0.6886543,,0,0,9.371837,,0.1762436,139.5177,140.6422,,0,140,150,,5,5,5,,
