Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01119423,0,0.01119418,,0,0,37.34254,,0.9694085,97.31685,149.011,,0,60,150,,5,5,5,,
0.02220917,0,0.02220831,,0,0,37.33797,,0.9511099,97.31282,149.0136,,0,60,150,,5,5,5,,
0.03339386,0,0.03339428,,0,0,37.33561,,0.9311119,97.31133,149.0279,,0,60,150,,5,5,5,,
0.04445457,0,0.04445445,,0,0,37.34367,,0.9293055,97.3195,149.0298,,0,60,150,,5,5,5,,
0.05560875,0,0.05560787,,0,0,37.36412,,0.932403,97.34013,149.0396,,0,60,150,,5,5,5,,
0.06671143,0,0.06671026,,0,0,37.39294,,0.9453767,97.36832,149.0271,,0,60,150,,5,5,5,,
0.07773209,0,0.07773172,,0,0,37.437,,0.9594015,97.41146,149.0046,,0,60,150,,5,5,5,,
0.08888435,0,0.08888426,,0,0,37.50337,,0.976483,97.47707,148.9905,,0,60,150,,5,5,5,,
0.09999847,0,0.09999809,,0,0,37.58166,,0.9805317,97.55588,149.0123,,0,60,150,,5,5,5,,
0.1111298,0,0.1111286,,0,0,37.63116,,0.9982097,97.60439,148.9911,,0,60,150,,5,5,5,,
0.1222038,0,0.1222032,,0,0,37.66599,,1.067466,97.63741,148.9936,,0,60,150,,5,5,5,,
0.1334,0,0.1333988,,0,0,37.70877,,1.121588,97.67933,149.0192,,0,60,150,,5,5,5,,
0.1445389,0,0.1445379,,0,0,37.73548,,1.172761,97.70503,149.0401,,0,60,150,,5,5,5,,
0.1555309,0,0.1555309,,0,0,37.74134,,1.227491,97.70928,149.045,,0,60,150,,5,5,5,,
0.1667004,0,0.1667007,,0,0,37.75065,,1.303736,97.7155,149.0237,,0,60,150,,5,5,5,,
0.1778069,0,0.1778061,,0,0,37.74959,,1.384044,97.71104,149.0033,,0,60,150,,5,5,5,,
0.1889267,0,0.1889258,,0,0,37.71519,,1.44141,97.67459,149.0086,,0,60,150,,5,5,5,,
0.2000122,0,0.2000123,,0,0,37.67046,,1.494397,97.62798,149.0174,,0,60,150,,5,5,5,,
0.2110844,0,0.2110839,,0,0,37.60654,,1.539265,97.56265,149.0356,,0,60,150,,5,5,5,,
0.2222691,0,0.2222696,,0,0,37.51939,,1.579798,97.47413,149.0521,,0,60,150,,5,5,5,,
0.2333813,0,0.2333802,,0,0,37.4048,,1.611518,97.35822,149.0588,,0,60,150,,5,5,5,,
0.2445393,0,0.2445386,,0,0,37.27695,,1.643751,97.22929,149.0783,,0,60,150,,5,5,5,,
0.2555256,0,0.255526,,0,0,37.12181,,1.663333,97.07442,149.1342,,0,60,150,,5,5,5,,
0.2667046,0,0.2667038,,0,0,36.94187,,1.67766,96.89497,149.195,,0,60,150,,5,5,5,,
0.2778091,0,0.2778094,,0,0,36.70978,,1.681311,96.66448,149.295,,0,60,150,,5,5,5,,
0.2888603,0,0.2888608,,0,0,36.47319,,1.680826,96.43012,149.4393,,0,60,150,,5,5,5,,
0.3000431,0,0.3000426,,0,0,36.18438,,1.674888,96.1437,149.6295,,0,60,150,,5,5,5,,
0.3111343,0,0.3111339,,0,0,35.8416,,1.686969,95.80143,149.8213,,0,60,150,,5,5,5,,
0.322361,0,0.3223609,,0,0,35.41225,,1.732942,95.36974,150.0792,,0,60,150,,5,5,5,,
0.3333416,0,0.333341,,0,0,34.94601,,1.803627,94.89713,150.4006,,0,60,150,,5,5,5,,
0.344368,0,0.3443674,,0,0,34.37262,,1.880849,94.31003,150.8727,,0,60,150,,5,5,5,,
0.3556423,0,0.3556429,,0,0,33.73026,,1.931612,93.64536,151.4103,,0,60,150,,5,5,5,,
0.3666058,0,0.366606,,0,0,32.92717,,1.899169,92.8059,152.0892,,0,60,150,,5,5,5,,
0.3778896,0,0.377889,,0,0,32.06887,,1.79021,91.89568,152.8059,,0,60,150,,5,5,5,,
0.3887882,0,0.388787,,0,0,31.08869,,1.611273,90.83518,153.6196,,0,60,150,,5,5,5,,
0.4000053,0,0.4000047,,0,0,30.04509,,1.423949,89.67808,154.46,,0,60,150,,5,5,5,,
0.4112129,0,0.411212,,0,0,29.00727,,1.269442,88.49451,155.2795,,0,60,150,,5,5,5,,
0.4222603,0,0.4222599,,0,0,27.91735,,1.129273,87.22059,156.0945,,0,60,150,,5,5,5,,
0.433445,0,0.4334444,,0,0,26.87029,,1.018936,85.95226,156.8887,,0,60,150,,5,5,5,,
0.444437,0,0.4444374,,0,0,25.83337,,0.8935168,84.64795,157.684,,0,60,150,,5,5,5,,
0.4556389,0,0.4556389,,0,0,24.83758,,0.7132905,83.3446,158.4514,,0,60,150,,5,5,5,,
0.4667339,0,0.4667342,,0,0,23.84794,,0.4593194,82.00407,159.1834,,0,60,150,,5,5,5,,
0.4779339,0,0.477934,,0,0,22.91748,,0.173861,80.67407,159.8875,,0,60,150,,5,5,5,,
0.488905,0,0.4889038,,0,0,22.04961,,-0.1413002,79.37621,160.5227,,0,60,150,,5,5,5,,
0.4999409,0,0.4999399,,0,0,21.28514,,-0.4260919,78.1605,161.0938,,0,60,150,,5,5,5,,
0.5110874,0,0.5110869,,0,0,20.63269,,-0.6753899,77.03153,161.6266,,0,60,150,,5,5,5,,
0.5220604,0,0.5220609,,0,0,20.09244,,-0.8846143,76.00824,162.1103,,0,60,150,,5,5,5,,
0.5333538,0,0.5333527,,0,0,19.64066,,-1.060473,75.03429,162.5937,,0,60,150,,5,5,5,,
0.5444202,0,0.5444202,,0,0,19.3001,,-1.199687,74.18281,163.0347,,0,60,150,,5,5,5,,
0.5555286,0,0.5555285,,0,0,19.03758,,-1.326736,73.3833,163.4743,,0,60,150,,5,5,5,,
0.5666504,0,0.56665,,0,0,18.88841,,-1.427511,72.68085,163.9259,,0,60,150,,5,5,5,,
0.5777149,0,0.5777146,,0,0,18.80179,,-1.519375,72.03456,164.3655,,0,60,150,,5,5,5,,
0.5889511,0,0.5889501,,0,0,18.79941,,-1.596646,71.46415,164.8136,,0,60,150,,5,5,5,,
0.6000652,0,0.6000651,,0,0,18.85114,,-1.660603,70.96046,165.2472,,0,60,150,,5,5,5,,
0.6111565,0,0.6111566,,0,0,18.93444,,-1.711005,70.50402,165.6605,,0,60,150,,5,5,5,,
0.6222248,0,0.622225,,0,0,19.08788,,-1.699921,70.15204,166.0746,,0,60,150,,5,5,5,,
0.6333427,0,0.6333433,,0,0,19.29183,,-1.65352,69.84619,166.5074,,0,60,150,,5,5,5,,
0.6444664,0,0.6444656,,0,0,19.57864,,-1.57241,69.6238,166.9774,,0,60,150,,5,5,5,,
0.6554985,0,0.6554988,,0,0,19.91298,,-1.508361,69.40019,167.4897,,0,60,150,,5,5,5,,
0.6667442,0,0.6667437,,0,0,20.32467,,-1.451496,69.22041,168.0546,,0,60,150,,5,5,5,,
0.6778622,0,0.6778625,,0,0,20.73538,,-1.40377,69.036,168.6101,,0,60,150,,5,5,5,,
0.6888466,0,0.6888473,,0,0,21.19673,,-1.358657,68.88422,169.197,,0,60,150,,5,5,5,,
0.7000618,0,0.7000608,,0,0,21.69333,,-1.29898,68.75266,169.8067,,0,60,150,,5,5,5,,
0.711134,0,0.7111333,,0,0,22.21164,,-1.224956,68.63945,170.4259,,0,60,150,,5,5,5,,
0.7224464,0,0.7224463,,0,0,22.76449,,-1.134157,68.54684,171.0686,,0,60,150,,5,5,5,,
0.7333546,0,0.7333539,,0,0,23.34889,,-1.024117,68.45333,171.7408,,0,60,150,,5,5,5,,
0.7444878,0,0.744488,,0,0,23.97178,,-0.8897179,68.37371,172.4441,,0,60,150,,5,5,5,,
0.755476,0,0.7554766,,0,0,24.58636,,-0.7629332,68.27301,173.1401,,0,60,150,,5,5,5,,
0.7666874,0,0.7666866,,0,0,25.23159,,-0.6371151,68.16061,173.867,,0,60,150,,5,5,5,,
0.7777805,0,0.7777811,,0,0,25.87418,,-0.5286137,68.02855,174.5914,,0,60,150,,5,5,5,,
0.7887897,0,0.7887893,,0,0,26.49813,,-0.4676092,67.87439,175.2968,,0,60,150,,5,5,5,,
0.8000336,0,0.8000331,,0,0,27.08597,,-0.4283297,67.71162,175.9615,,0,60,150,,5,5,5,,
0.8110714,0,0.8110713,,0,0,27.62565,,-0.381049,67.54746,176.5719,,0,60,150,,5,5,5,,
0.8221512,0,0.8221517,,0,0,28.09463,,-0.3360146,67.39006,177.1032,,0,60,150,,5,5,5,,
0.8332539,0,0.8332532,,0,0,28.52078,,-0.2990353,67.2383,177.5854,,0,60,150,,5,5,5,,
0.8444023,0,0.8444014,,0,0,28.88904,,-0.2761417,67.06771,178.0098,,0,60,150,,5,5,5,,
