Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01148605,0,0.01148684,,0,0,38.57395,,1.472549,99.05954,148.3566,,40,100,150,,5,5,5,,
0.02272034,0,0.0227212,,0,0,38.56995,,1.476522,99.07481,148.3488,,40,100,150,,5,5,5,,
0.03345108,0,0.03345029,,0,0,38.56083,,1.486542,99.08022,148.3251,,40,100,150,,5,5,5,,
0.04479408,0,0.04479403,,0,0,38.57182,,1.476919,99.08006,148.2938,,40,100,150,,5,5,5,,
0.05592346,0,0.05592252,,0,0,38.58661,,1.462893,99.08453,148.2738,,40,100,150,,5,5,5,,
0.06664658,0,0.06664663,,0,0,38.5812,,1.470245,99.08022,148.2333,,40,100,150,,5,5,5,,
0.07811165,0,0.07811236,,0,0,38.57967,,1.471177,99.09947,148.2366,,40,100,150,,5,5,5,,
0.08926201,0,0.08926225,,0,0,38.56861,,1.481977,99.12285,148.2308,,40,100,150,,5,5,5,,
0.1000004,0,0.1000007,,0,0,38.52705,,1.522196,99.16596,148.2402,,40,100,150,,5,5,5,,
0.1115017,0,0.1115011,,0,0,38.47589,,1.57094,99.20408,148.2771,,40,100,150,,5,5,5,,
0.122612,0,0.1226128,,0,0,38.45776,,1.585973,99.25526,148.3246,,40,100,150,,5,5,5,,
0.1334152,0,0.1334155,,0,0,38.40467,,1.638604,99.25201,148.3381,,40,100,150,,5,5,5,,
0.1446857,0,0.1446851,,0,0,38.31771,,1.724566,99.2618,148.3588,,40,100,150,,5,5,5,,
0.1559467,0,0.1559467,,0,0,38.23965,,1.80053,99.2924,148.3966,,40,100,150,,5,5,5,,
0.1668606,0,0.16686,,0,0,38.16508,,1.873646,99.3127,148.4246,,40,100,150,,5,5,5,,
0.1781845,0,0.1781852,,0,0,38.10219,,1.935629,99.32156,148.4443,,40,100,150,,5,5,5,,
0.1894627,0,0.1894627,,0,0,38.03617,,2.00179,99.31557,148.4449,,40,100,150,,5,5,5,,
0.2001019,0,0.2001026,,0,0,37.97239,,2.066135,99.29989,148.44,,40,100,150,,5,5,5,,
0.2114372,0,0.2114379,,0,0,37.90797,,2.130007,99.28329,148.4624,,40,100,150,,5,5,5,,
0.2225189,0,0.2225198,,0,0,37.82451,,2.210947,99.27176,148.5336,,40,100,150,,5,5,5,,
0.2333832,0,0.2333834,,0,0,37.72593,,2.306308,99.26482,148.6249,,40,100,150,,5,5,5,,
0.2447643,0,0.2447641,,0,0,37.56445,,2.463847,99.26283,148.7423,,40,100,150,,5,5,5,,
0.2558746,0,0.2558742,,0,0,37.30842,,2.714021,99.30626,148.9079,,40,100,150,,5,5,5,,
0.2667999,0,0.2668,,0,0,36.98226,,3.033646,99.38266,149.1084,,40,100,150,,5,5,5,,
0.2779617,0,0.2779616,,0,0,36.52217,,3.486999,99.49387,149.3568,,40,100,150,,5,5,5,,
0.2892094,0,0.2892101,,0,0,35.97178,,4.032483,99.60915,149.6076,,40,100,150,,5,5,5,,
0.2999249,0,0.2999239,,0,0,35.2686,,4.732722,99.72282,149.8716,,40,100,150,,5,5,5,,
0.311409,0,0.3114081,,0,0,34.32617,,5.674668,99.83086,150.1703,,40,100,150,,5,5,5,,
0.3225822,0,0.322583,,0,0,33.18851,,6.815553,99.94923,150.5168,,40,100,150,,5,5,5,,
0.3335342,0,0.3335343,,0,0,31.94299,,8.068425,100.0759,150.8504,,40,100,150,,5,5,5,,
0.3447914,0,0.3447916,,0,0,30.44949,,9.573214,100.2189,151.155,,40,100,150,,5,5,5,,
0.3558617,0,0.3558611,,0,0,28.88185,,11.1547,100.3437,151.4113,,40,100,150,,5,5,5,,
0.3666973,0,0.366697,,0,0,27.1731,,12.87722,100.4355,151.5945,,40,100,150,,5,5,5,,
