Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01102638,0,0.01102644,,0,0,41.33278,,1.240348,97.7812,148.3541,,-40,100,150,,5,5,5,,
0.0221138,0,0.02211388,,0,0,41.33577,,1.243455,97.78271,148.3546,,-40,100,150,,5,5,5,,
0.03313446,0,0.03313358,,0,0,41.32639,,1.232043,97.80405,148.2777,,-40,100,150,,5,5,5,,
0.04437828,0,0.04437879,,0,0,41.32217,,1.226147,97.82086,148.2174,,-40,100,150,,5,5,5,,
0.05542946,0,0.05542957,,0,0,41.31515,,1.217686,97.82823,148.1758,,-40,100,150,,5,5,5,,
0.06659126,0,0.06659091,,0,0,41.2998,,1.200685,97.81736,148.1525,,-40,100,150,,5,5,5,,
0.07767105,0,0.0776713,,0,0,41.28417,,1.184595,97.81409,148.147,,-40,100,150,,5,5,5,,
0.08872795,0,0.08872795,,0,0,41.25795,,1.157478,97.82446,148.1165,,-40,100,150,,5,5,5,,
0.09994507,0,0.09994471,,0,0,41.23087,,1.13009,97.83305,148.1014,,-40,100,150,,5,5,5,,
0.1110039,0,0.1110046,,0,0,41.19666,,1.096402,97.84058,148.1061,,-40,100,150,,5,5,5,,
0.1221428,0,0.1221436,,0,0,41.16513,,1.067487,97.87144,148.1294,,-40,100,150,,5,5,5,,
0.1332264,0,0.1332264,,0,0,41.16835,,1.076644,97.92911,148.1961,,-40,100,150,,5,5,5,,
0.144371,0,0.1443719,,0,0,41.19526,,1.111227,97.99104,148.3028,,-40,100,150,,5,5,5,,
0.155405,0,0.1554048,,0,0,41.3056,,1.222336,98.01367,148.2896,,-40,100,150,,5,5,5,,
0.1665478,0,0.1665476,,0,0,41.4694,,1.386749,98.03219,148.2749,,-40,100,150,,5,5,5,,
0.1777363,0,0.1777371,,0,0,41.59521,,1.51499,98.06365,148.2918,,-40,100,150,,5,5,5,,
0.1888504,0,0.1888495,,0,0,41.59935,,1.520898,98.07665,148.3201,,-40,100,150,,5,5,5,,
0.1999664,0,0.1999657,,0,0,41.46349,,1.384603,98.06165,148.3332,,-40,100,150,,5,5,5,,
0.2110882,0,0.2110886,,0,0,41.13182,,1.04971,98.02971,148.3071,,-40,100,150,,5,5,5,,
0.2220669,0,0.2220664,,0,0,40.71479,,0.6279711,97.99776,148.2526,,-40,100,150,,5,5,5,,
0.2332439,0,0.2332438,,0,0,40.16483,,0.07209942,97.96688,148.1815,,-40,100,150,,5,5,5,,
0.2442493,0,0.2442489,,0,0,39.56715,,-0.5307994,97.96684,148.1005,,-40,100,150,,5,5,5,,
0.2555485,0,0.2555486,,0,0,38.96438,,-1.142451,97.96971,147.9527,,-40,100,150,,5,5,5,,
0.2666664,0,0.2666654,,0,0,38.25834,,-1.869223,97.96152,147.636,,-40,100,150,,5,5,5,,
0.2778149,0,0.2778141,,0,0,37.47293,,-2.688206,97.9413,147.205,,-40,100,150,,5,5,5,,
0.2888298,0,0.28883,,0,0,36.51464,,-3.698926,97.87627,146.6772,,-40,100,150,,5,5,5,,
0.3000565,0,0.3000565,,0,0,35.45448,,-4.817232,97.81911,146.2005,,-40,100,150,,5,5,5,,
0.31106,0,0.3110594,,0,0,34.23489,,-6.111479,97.75612,145.6918,,-40,100,150,,5,5,5,,
0.3220654,0,0.3220645,,0,0,33.01467,,-7.417214,97.70421,145.1979,,-40,100,150,,5,5,5,,
0.3332443,0,0.333244,,0,0,31.76333,,-8.777942,97.6708,144.6458,,-40,100,150,,5,5,5,,
0.3444901,0,0.3444892,,0,0,30.56124,,-10.12509,97.64458,144.0057,,-40,100,150,,5,5,5,,
0.3554916,0,0.3554913,,0,0,29.4316,,-11.42852,97.60445,143.3554,,-40,100,150,,5,5,5,,
0.3667526,0,0.3667527,,0,0,28.35883,,-12.69107,97.61938,142.7352,,-40,100,150,,5,5,5,,
0.3777962,0,0.3777958,,0,0,27.36556,,-13.88103,97.67581,142.1724,,-40,100,150,,5,5,5,,
0.3888111,0,0.388812,,0,0,26.46069,,-14.97848,97.75822,141.6894,,-40,100,150,,5,5,5,,
0.39995,0,0.3999505,,0,0,25.57374,,-16.0572,97.87575,141.2681,,-40,100,150,,5,5,5,,
0.4110718,0,0.4110716,,0,0,24.71836,,-17.10196,97.99552,140.9083,,-40,100,150,,5,5,5,,
