Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01120043,0,0.01120063,,0,0,43.28093,,-0.8398519,96.81638,147.2236,,0,140,150,,5,5,5,,
0.02228355,0,0.02228338,,0,0,43.33735,,-0.9252164,96.76546,147.1638,,0,140,150,,5,5,5,,
0.03341055,0,0.0334107,,0,0,43.39297,,-1.019019,96.71383,147.1331,,0,140,150,,5,5,5,,
0.04455519,0,0.04455503,,0,0,43.45484,,-1.109448,96.65237,147.1582,,0,140,150,,5,5,5,,
0.0556016,0,0.05560141,,0,0,43.50756,,-1.259756,96.5985,147.2375,,0,140,150,,5,5,5,,
0.06678391,0,0.06678387,,0,0,43.54841,,-1.407382,96.55663,147.3247,,0,140,150,,5,5,5,,
0.07787848,0,0.07787864,,0,0,43.60066,,-1.554709,96.50578,147.382,,0,140,150,,5,5,5,,
0.08900833,0,0.08900831,,0,0,43.65777,,-1.675912,96.45113,147.4139,,0,140,150,,5,5,5,,
0.1001463,0,0.1001465,,0,0,43.71259,,-1.751319,96.3987,147.4212,,0,140,150,,5,5,5,,
0.1111765,0,0.1111764,,0,0,43.69165,,-1.677525,96.41869,147.3895,,0,140,150,,5,5,5,,
0.122323,0,0.1223231,,0,0,43.83558,,-1.796911,96.27663,147.4317,,0,140,150,,5,5,5,,
0.1333776,0,0.1333774,,0,0,43.9146,,-1.825218,96.19728,147.4539,,0,140,150,,5,5,5,,
0.1445665,0,0.1445666,,0,0,44.0126,,-1.862322,96.09899,147.4817,,0,140,150,,5,5,5,,
0.1555705,0,0.1555708,,0,0,44.11923,,-2.000076,95.98998,147.6283,,0,140,150,,5,5,5,,
0.1667714,0,0.1667717,,0,0,44.21754,,-1.998602,95.89256,147.6062,,0,140,150,,5,5,5,,
0.1778927,0,0.1778926,,0,0,44.30745,,-2.007474,95.80219,147.618,,0,140,150,,5,5,5,,
0.1890249,0,0.1890249,,0,0,44.38142,,-2.024764,95.72687,147.6547,,0,140,150,,5,5,5,,
0.2000518,0,0.2000516,,0,0,44.43568,,-2.024453,95.66863,147.7283,,0,140,150,,5,5,5,,
0.2111506,0,0.2111508,,0,0,44.46111,,-2.029302,95.63857,147.8239,,0,140,150,,5,5,5,,
0.22226,0,0.2222599,,0,0,44.42629,,-2.045787,95.66805,147.9534,,0,140,150,,5,5,5,,
0.2333741,0,0.233374,,0,0,44.37152,,-2.059541,95.71802,148.0774,,0,140,150,,5,5,5,,
0.2445884,0,0.2445885,,0,0,44.29565,,-2.069528,95.7897,148.1916,,0,140,150,,5,5,5,,
0.2556291,0,0.255629,,0,0,44.1488,,-2.099345,95.93385,148.3021,,0,140,150,,5,5,5,,
0.2666731,0,0.2666733,,0,0,43.95487,,-2.155147,96.12754,148.3896,,0,140,150,,5,5,5,,
0.2779074,0,0.2779074,,0,0,43.65174,,-2.234262,96.43291,148.4535,,0,140,150,,5,5,5,,
0.2890043,0,0.2890042,,0,0,43.23536,,-2.305083,96.85188,148.5093,,0,140,150,,5,5,5,,
0.3001213,0,0.3001215,,0,0,42.74817,,-2.352338,97.3413,148.5482,,0,140,150,,5,5,5,,
