Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.0111618,0,0.01116222,,0,0,40.86326,,0.5022099,95.85816,153.496,,-40,100,150,,5,5,5,,
0.02237129,0,0.02237223,,0,0,40.80153,,0.4324483,95.85957,153.5831,,-40,100,150,,5,5,5,,
0.03326035,0,0.03326056,,0,0,40.76,,0.3839755,95.85109,153.6468,,-40,100,150,,5,5,5,,
0.04450417,0,0.04450547,,0,0,40.73447,,0.3524697,95.82556,153.6809,,-40,100,150,,5,5,5,,
0.05557632,0,0.05557649,,0,0,40.71278,,0.3269275,95.80322,153.6955,,-40,100,150,,5,5,5,,
0.06668663,0,0.0666868,,0,0,40.68722,,0.2985338,95.78435,153.7022,,-40,100,150,,5,5,5,,
0.07785225,0,0.07785254,,0,0,40.6735,,0.2831551,95.77048,153.703,,-40,100,150,,5,5,5,,
0.08883095,0,0.08883148,,0,0,40.65235,,0.2574036,95.74776,153.7247,,-40,100,150,,5,5,5,,
0.100029,0,0.1000292,,0,0,40.64851,,0.2511553,95.73567,153.7365,,-40,100,150,,5,5,5,,
0.1111565,0,0.1111568,,0,0,40.662,,0.2646773,95.7343,153.736,,-40,100,150,,5,5,5,,
0.1222725,0,0.1222733,,0,0,40.70115,,0.3080033,95.74822,153.7109,,-40,100,150,,5,5,5,,
0.1333942,0,0.1333944,,0,0,40.75889,,0.3714655,95.76817,153.6774,,-40,100,150,,5,5,5,,
0.1444664,0,0.1444669,,0,0,40.81518,,0.4308517,95.79405,153.6791,,-40,100,150,,5,5,5,,
0.1556396,0,0.1556412,,0,0,40.81172,,0.4225928,95.84451,153.7871,,-40,100,150,,5,5,5,,
0.1666241,0,0.1666245,,0,0,40.92048,,0.5395533,95.86578,153.7334,,-40,100,150,,5,5,5,,
0.1778698,0,0.17787,,0,0,40.99131,,0.6133657,95.89227,153.7375,,-40,100,150,,5,5,5,,
0.1889381,0,0.1889399,,0,0,41.04525,,0.6693426,95.90266,153.7322,,-40,100,150,,5,5,5,,
0.2000656,0,0.2000669,,0,0,41.07549,,0.7003075,95.9304,153.7576,,-40,100,150,,5,5,5,,
0.2111149,0,0.211115,,0,0,41.03796,,0.6591852,95.92232,153.7838,,-40,100,150,,5,5,5,,
0.222168,0,0.222169,,0,0,41.12174,,0.7467564,95.97226,153.8048,,-40,100,150,,5,5,5,,
0.2333832,0,0.2333843,,0,0,41.15556,,0.7813603,95.99543,153.8241,,-40,100,150,,5,5,5,,
0.2443848,0,0.2443858,,0,0,41.18919,,0.8179827,96.03204,153.8337,,-40,100,150,,5,5,5,,
0.2556114,0,0.2556123,,0,0,41.22578,,0.858426,96.06884,153.8341,,-40,100,150,,5,5,5,,
0.2666607,0,0.2666622,,0,0,41.24814,,0.8824665,96.08588,153.8357,,-40,100,150,,5,5,5,,
0.2778034,0,0.2778042,,0,0,41.2754,,0.9116248,96.1106,153.8432,,-40,100,150,,5,5,5,,
0.2890263,0,0.2890274,,0,0,41.2852,,0.9222232,96.13432,153.8595,,-40,100,150,,5,5,5,,
0.300024,0,0.3000245,,0,0,41.29047,,0.9281718,96.16006,153.8784,,-40,100,150,,5,5,5,,
0.3113728,0,0.3113732,,0,0,41.30401,,0.9432296,96.19244,153.8956,,-40,100,150,,5,5,5,,
0.322298,0,0.3222994,,0,0,41.30957,,0.9500301,96.21954,153.9094,,-40,100,150,,5,5,5,,
0.3333187,0,0.3333203,,0,0,41.31784,,0.961148,96.25714,153.9165,,-40,100,150,,5,5,5,,
0.3444748,0,0.3444757,,0,0,41.31684,,0.9648975,96.29697,153.9047,,-40,100,150,,5,5,5,,
0.355547,0,0.3555482,,0,0,41.29545,,0.9450155,96.31058,153.8998,,-40,100,150,,5,5,5,,
0.3667202,0,0.366721,,0,0,41.25013,,0.8993559,96.31859,153.9068,,-40,100,150,,5,5,5,,
0.3777332,0,0.3777351,,0,0,41.1913,,0.839679,96.32761,153.9188,,-40,100,150,,5,5,5,,
0.3889637,0,0.3889654,,0,0,41.10646,,0.7497356,96.31493,153.9523,,-40,100,150,,5,5,5,,
