Name:,Main Input ,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,1,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,X Scale, Y Scale, Z Scale,,
0.01107407,0,0.01107395,,0,0,39.94744,,-0.2679526,99.31506,150.0593,,0,100,190,,5,5,5,,
0.02232552,0,0.0223259,,0,0,39.91886,,-0.2747069,99.34377,150.0875,,0,100,190,,5,5,5,,
0.03333282,0,0.03333299,,0,0,39.89484,,-0.2681908,99.36973,150.111,,0,100,190,,5,5,5,,
0.04445839,0,0.04445796,,0,0,39.83637,,-0.2865973,99.41689,150.1689,,0,100,190,,5,5,5,,
0.05560398,0,0.05560376,,0,0,39.80915,,-0.2929999,99.4437,150.1958,,0,100,190,,5,5,5,,
0.06669331,0,0.06669296,,0,0,39.80229,,-0.2988849,99.45757,150.2025,,0,100,190,,5,5,5,,
0.07781887,0,0.07781882,,0,0,39.81516,,-0.3058048,99.46298,150.1896,,0,100,190,,5,5,5,,
0.08891106,0,0.08891095,,0,0,39.83121,,-0.3148167,99.46956,150.1736,,0,100,190,,5,5,5,,
0.1000681,0,0.1000676,,0,0,39.84842,,-0.3260886,99.46939,150.1564,,0,100,190,,5,5,5,,
0.1111031,0,0.1111031,,0,0,39.88361,,-0.3176006,99.46821,150.1212,,0,100,190,,5,5,5,,
0.122262,0,0.1222624,,0,0,39.91427,,-0.3085716,99.46906,150.0905,,0,100,190,,5,5,5,,
0.1333103,0,0.13331,,0,0,39.94983,,-0.2897645,99.47233,150.0547,,0,100,190,,5,5,5,,
0.1444769,0,0.1444772,,0,0,39.97736,,-0.2775788,99.47354,150.0271,,0,100,190,,5,5,5,,
0.1556149,0,0.155615,,0,0,39.9972,,-0.2774998,99.4676,150.0073,,0,100,190,,5,5,5,,
0.166646,0,0.1666456,,0,0,40.03955,,-0.2605793,99.45332,149.965,,0,100,190,,5,5,5,,
0.1778088,0,0.1778084,,0,0,40.08005,,-0.2487803,99.42918,149.9248,,0,100,190,,5,5,5,,
0.1889734,0,0.188973,,0,0,40.11508,,-0.2365038,99.40415,149.89,,0,100,190,,5,5,5,,
0.2000389,0,0.2000387,,0,0,40.09372,,-0.245338,99.38046,149.9118,,0,100,190,,5,5,5,,
0.2112198,0,0.21122,,0,0,40.10614,,-0.2511871,99.35234,149.8999,,0,100,190,,5,5,5,,
0.2222624,0,0.222262,,0,0,40.13456,,-0.2146268,99.3415,149.8714,,0,100,190,,5,5,5,,
0.2333527,0,0.2333526,,0,0,40.13059,,-0.2008912,99.333,149.8755,,0,100,190,,5,5,5,,
0.2444105,0,0.2444108,,0,0,40.12656,,-0.1769075,99.31099,149.8797,,0,100,190,,5,5,5,,
0.2555742,0,0.2555738,,0,0,40.08231,,-0.1708409,99.29653,149.9242,,0,100,190,,5,5,5,,
0.2666187,0,0.2666191,,0,0,40.04882,,-0.1467379,99.27128,149.9581,,0,100,190,,5,5,5,,
0.2777586,0,0.2777584,,0,0,39.99035,,-0.129565,99.21839,150.0175,,0,100,190,,5,5,5,,
0.2888813,0,0.2888813,,0,0,39.92181,,-0.1154292,99.14257,150.0876,,0,100,190,,5,5,5,,
0.2999535,0,0.2999532,,0,0,39.80539,,-0.1273609,99.02563,150.2067,,0,100,190,,5,5,5,,
0.311162,0,0.3111615,,0,0,39.68624,,-0.1281077,98.87611,150.3299,,0,100,190,,5,5,5,,
0.3223953,0,0.3223952,,0,0,39.51957,,-0.1386806,98.65849,150.5034,,0,100,190,,5,5,5,,
0.333374,0,0.3333739,,0,0,39.34023,,-0.1514155,98.4144,150.692,,0,100,190,,5,5,5,,
0.3445435,0,0.3445434,,0,0,39.14259,,-0.187238,98.11206,150.9034,,0,100,190,,5,5,5,,
0.3554916,0,0.3554916,,0,0,38.93594,,-0.2489212,97.75328,151.1297,,0,100,190,,5,5,5,,
0.3666677,0,0.3666676,,0,0,38.75135,,-0.2631747,97.34293,151.3407,,0,100,190,,5,5,5,,
0.3776703,0,0.3776706,,0,0,38.54695,,-0.2541444,96.8422,151.5835,,0,100,190,,5,5,5,,
0.3889236,0,0.3889237,,0,0,38.36286,,-0.2140254,96.31317,151.8153,,0,100,190,,5,5,5,,
0.4001112,0,0.4001108,,0,0,38.2046,,-0.1581816,95.73125,152.035,,0,100,190,,5,5,5,,
0.4111671,0,0.4111672,,0,0,38.08635,,-0.1285121,95.1465,152.2244,,0,100,190,,5,5,5,,
0.4221535,0,0.4221531,,0,0,38.03613,,-0.1171528,94.51123,152.3622,,0,100,190,,5,5,5,,
0.4333239,0,0.4333242,,0,0,38.01589,,-0.1405312,93.88868,152.4788,,0,100,190,,5,5,5,,
0.444438,0,0.4444383,,0,0,38.04503,,-0.186265,93.27366,152.5548,,0,100,190,,5,5,5,,
0.4554901,0,0.4554896,,0,0,38.10384,,-0.2190462,92.69958,152.6027,,0,100,190,,5,5,5,,
0.4667177,0,0.4667178,,0,0,38.18143,,-0.2400807,92.16903,152.631,,0,100,190,,5,5,5,,
0.4777145,0,0.4777147,,0,0,38.24464,,-0.2696828,91.70911,152.6658,,0,100,190,,5,5,5,,
0.4888811,0,0.4888807,,0,0,38.26986,,-0.3009962,91.28904,152.7359,,0,100,190,,5,5,5,,
0.4999971,0,0.4999975,,0,0,38.23857,,-0.2962528,90.94736,152.8496,,0,100,190,,5,5,5,,
0.5110731,0,0.5110726,,0,0,38.11565,,-0.2517889,90.6568,153.0481,,0,100,190,,5,5,5,,
0.5223246,0,0.5223248,,0,0,37.77149,,-0.1920841,90.48795,153.4464,,0,100,190,,5,5,5,,
0.5333405,0,0.5333404,,0,0,37.31996,,-0.1153032,90.38751,153.9394,,0,100,190,,5,5,5,,
0.5444994,0,0.5444988,,0,0,36.62819,,-0.06326529,90.40543,154.6508,,0,100,190,,5,5,5,,
0.5554972,0,0.5554971,,0,0,35.75828,,-0.00998517,90.50025,155.5267,,0,100,190,,5,5,5,,
0.566679,0,0.566679,,0,0,34.75353,,0.05269739,90.65357,156.5269,,0,100,190,,5,5,5,,
